stage,blastomeres,epidermis,erythrocytes,eye,fin_mesenchyme,glial,gut,heart,lateral_line,mesenchyme,muscle,neural,olfactory,periderm,pronephros,spinal_cord,vascular_smooth_muscle,vasculature
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0
 14-21,0,1,0,2,0,0,0,0,0,1,0,1,0,1,1,0,0,1
 24-34,0,0,0,0,0,0,0,1.64,0,0,0,2.46,0,2.46,0,0,0,0
 36-46,0,0,0,0.81,0,0.81,0,1.61,0,0.81,0.81,0,0,0,0,0,0,0
 48-58,0,0,0,0.57,0,0,0,0,0,1.15,0,0.57,0,0,0,0.57,0,0
 60-70,0,0,0,0,0,0,0,0,0,0.98,0,0,0,0,0,0.98,0,0
 72-82,0,0,0,0.98,0,0.98,0.98,0,0.98,0,0,4.91,0.98,0,0,0,0,0
 84-94,0,0,0,0,0,0,0,0,0,1.06,0,1.06,0,0,0,0,1.06,0
 96-106,0,0,0,1.09,1.09,0,0,0,0,0,1.09,0,0,0,0,0,0,0
108-118,0,0,1.53,1.53,0,0,0,0,0.77,0.77,0,5.36,0,0,0,0,0,0
