stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118.6,0,0,0,0,0,0,0
  5-6,128.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.39,0,0,0,0,0,226.8,0,0,0,0,0,0,0
  7-9,31.54,102.52,0,0,49.95,0,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,1366.93,2.63,0,0,136.69,0,60.46,0,0,0,0,0,0,0
 10-12,9.44,44.06,0,0,12.59,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,878,0,0,0,66.09,0,18.88,6.29,3.15,0,0,0,0,0
 14-21,0,1,139,3,6,0,0,0,0,1,0,0,1,0,0,0,0,0,11,0,0,3,10,1,1,0,1,0,18,4,2,7,0,0,1,0
 24-34,0,0.82,174.84,0,3.28,0,7.39,0,1.64,0,0,0,18.88,0,0,6.57,0,0.82,52.53,0.82,0,13.95,20.52,6.57,0.82,2.46,0,0,11.49,10.67,0,1.64,0,0,2.46,0
 36-46,0,0,98.29,0,0,0.81,18.53,1.61,0,2.42,0,0.81,21.75,0,0,8.86,0,0,73.32,0,0.81,12.09,21.75,3.22,2.42,4.03,0,0,8.06,12.89,0,3.22,0,0,1.61,0
 48-58,0,0,55.09,0,3.44,0,21.8,0,0.57,0.57,0,0,17.21,0,0,4.02,0,0,76.32,0.57,1.72,9.75,9.75,2.87,4.02,4.59,0,0,4.59,9.75,0,0,0,0.57,1.15,0
 60-70,0,0,75.58,0,0.98,0,36.32,0,0,1.96,0,0,23.56,0,0,3.93,0,0,69.69,0,1.96,10.8,8.83,1.96,1.96,1.96,0,0,3.93,18.65,0,1.96,0,0.98,1.96,1.96
 72-82,0,0,69.7,0,2.94,0,24.54,0.98,1.96,5.89,0,0,21.6,0,0.98,3.93,2.94,0,79.51,0.98,1.96,12.76,5.89,0,4.91,1.96,0,0,3.93,36.32,0,0.98,0,1.96,0.98,0
 84-94,0,1.06,120.01,0,2.12,0,41.42,0,1.06,10.62,0,0,44.61,2.12,1.06,6.37,3.19,0,57.35,0,0,3.19,2.12,1.06,10.62,7.43,0,1.06,16.99,60.54,0,0,0,1.06,1.06,1.06
 96-106,0,3.28,113.66,1.09,0,0,42.62,1.09,0,6.56,0,0,36.06,0,0,7.65,2.19,0,43.71,3.28,0,3.28,9.84,0,14.21,13.11,0,0,14.21,54.64,0,0,0,2.19,0,3.28
108-118,0,3.06,120.26,0.77,2.3,0,60.51,0,2.3,6.13,0,0,28.34,0,0,0.77,6.89,0,49.02,2.3,0,4.6,6.13,3.06,15.32,7.66,0,0,16.85,38.3,0,0,2.3,0.77,0,0
120,0,0,117.59,0,1.96,0,47.03,0,1.96,9.8,0,0,64.67,1.96,0,0,7.84,0,23.52,0,0,3.92,3.92,0,9.8,1.96,0,0,9.8,35.28,0,0,0,0,0,0
