stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,glial,gut,hatching_gland,heart,ionocyte,iridophores,lateral_line,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,slow_muscle,spinal_cord,taste,vasculature
  3-4,0,92.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0
  5-6,6.13,165.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,6.13,0,0,0,0
  7-9,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.03,0,0,0,2.63,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,6.29,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,6,1,0,0,0,3,0,0
 24-34,0,0,0,4.1,0,0,3.28,0,0,0.82,0,0,0.82,0,0,0,0,0,0,17.24,0.82,45.15,5.75,0,0,0,5.75,0,0
 36-46,0,0,0,1.61,0,0,5.64,0,0.81,0,0,0,0,0,0,2.42,4.83,0,0.81,59.62,0,33.84,2.42,0,0,0.81,7.25,0,0
 48-58,0,0,0,0.57,0,0,17.21,0,0,1.15,0,0,0,0,0,1.15,2.3,0,0,56.81,0,28.12,7.46,0,0,0,2.87,0,0.57
 60-70,0,0,0,0,0,0,168.82,0,0.98,1.96,0,0,0,0,0,2.94,2.94,0,0,141.34,0,36.32,6.87,0,0.98,0,2.94,0.98,0
 72-82,0,0,0,1.96,0,0,292.54,0.98,0,4.91,0.98,0,0,0,0,0,3.93,0,0,229.71,0,67.73,16.69,0,0,0,2.94,7.85,0
 84-94,0,0,0,8.5,1.06,0,236.83,0,0,6.37,1.06,1.06,0,0,1.06,3.19,4.25,2.12,0,147.62,0,48.85,26.55,0,3.19,0,2.12,42.48,1.06
 96-106,0,0,0,6.56,0,0,153,0,0,2.19,2.19,0,0,1.09,0,8.74,1.09,1.09,1.09,172.67,0,84.15,29.51,0,3.28,0,1.09,75.41,1.09
108-118,0,0,0,3.06,0,0.77,89.62,0,0,1.53,3.06,0,0,0,0,1.53,1.53,0,0,124.09,0,55.15,25.28,0,2.3,0,0.77,96.51,0
120,0,0,0,5.88,0,0,54.87,0,0,3.92,0,0,0,0,0,0,3.92,0,1.96,156.78,0,48.99,27.44,0,1.96,0,0,19.6,0
