stage,axial,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,0,4,49,86,0,13,0,0,0,17,6,1,3,0,1,1,0,1,5,175,0,0,180,182,7,2,10,12,0,23,1,56,8,0,121,123,0,0,24,0,0
 24-34,0,0,2.46,39.4,11.49,0,25.45,0.82,4.1,25.45,26.27,0.82,0,4.93,0.82,5.75,2.46,4.93,1.64,4.1,672.28,0.82,0.82,271.7,318.49,1.64,2.46,22.16,0,0,60.74,0,0,2.46,2.46,48.43,119.02,0,0,77.98,0,0
 36-46,0,0,0,18.53,1.61,0,24.98,0.81,1.61,68.48,46.73,0.81,0,4.03,2.42,2.42,3.22,6.45,0,2.42,728.33,0,0.81,119.24,240.09,2.42,4.03,12.89,0,0,66.87,0,0.81,2.42,0.81,0,102.32,0,0,60.43,0,4.03
 48-58,0.57,0,0,5.74,0,0,42.46,2.3,5.16,88.94,88.94,1.72,0,6.31,4.02,0.57,2.3,4.02,0.57,5.74,732.75,0,2.87,97.55,142.3,0,1.15,17.79,0,0,35,0,0,0.57,0.57,0,98.69,0,1.15,51.07,0,4.59
 60-70,0,0,0,6.87,0.98,0,33.37,3.93,8.83,98.15,85.39,0,0,6.87,5.89,0,15.7,9.82,0,1.96,828.4,2.94,5.89,80.48,76.56,0,0,19.63,0,0.98,31.41,0,0,0,0.98,0,53,0,5.89,67.73,0.98,4.91
 72-82,0,0.98,0,15.71,3.93,0,69.7,0.98,8.83,139.4,135.47,4.91,0.98,8.83,11.78,0.98,12.76,13.74,1.96,2.94,1156.4,1.96,13.74,100.13,79.51,0.98,0.98,27.49,0,5.89,44.17,0,0,1.96,0,0,23.56,2.94,8.83,101.11,11.78,2.94
 84-94,0,1.06,1.06,26.55,1.06,0,109.39,1.06,9.56,109.39,75.4,8.5,0,6.37,28.68,6.37,25.49,9.56,1.06,5.31,859.19,1.06,9.56,86.03,63.72,2.12,0,31.86,0,3.19,101.96,0,0,9.56,1.06,0,23.36,3.19,5.31,84.96,6.37,6.37
 96-106,0,0,0,31.69,1.09,1.09,76.5,8.74,9.84,88.52,81.96,10.93,0,10.93,36.06,1.09,22.95,21.86,5.46,4.37,822.91,4.37,12.02,68.85,92.89,1.09,5.46,34.97,0,5.46,68.85,0,0,1.09,1.09,0,18.58,6.56,3.28,113.66,5.46,4.37
108-118,0,0,0,20.68,1.53,0.77,55.15,2.3,8.43,96.51,81.19,9.19,0,4.6,38.3,3.83,27.57,13.79,3.06,2.3,814.98,2.3,9.96,72.77,96.51,0,3.06,29.87,0,8.43,71.23,0,0,3.83,0,0,9.96,4.6,6.13,78.13,6.13,4.6
120,0,0,0,27.44,3.92,1.96,47.03,0,5.88,92.11,80.35,9.8,0,3.92,68.59,9.8,11.76,17.64,3.92,0,736.88,3.92,5.88,97.99,105.83,0,0,43.12,0,3.92,72.51,0,0,5.88,1.96,0,15.68,7.84,5.88,107.79,11.76,3.92
