stage,blastomeres,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_mesenchyme,glial,gut,hatching_gland,immune,iridophores,liver,mesenchyme,muscle,neural,notochord,paraxial_mesoderm,periderm,pronephros,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,30.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,15.73,3.15,3.15,0,0,0,0,0,0,0
 14-21,0,1,0,0,0,0,0,0,0,1,0,0,0,2,0,2,0,1,0,2,10,1,0,0,0
 24-34,0,0,0,0,0,1.64,0,0,0,0,0,0,0,0.82,0,16.42,0,0,0,0,6.57,0.82,0,0.82,0
 36-46,0,0,0,0,0.81,2.42,0.81,0,0,0,0,0,0,1.61,0.81,16.11,0,0,1.61,0.81,0.81,1.61,0,0,0
 48-58,0,0,0,0,2.3,2.3,1.15,0.57,0,0,0,0,0,1.72,1.15,7.46,0,0,0,0.57,0.57,1.15,0,0,0
 60-70,0,0.98,0,0,2.94,10.8,1.96,0.98,0,0,0,0,0,1.96,5.89,0.98,0,0,0,0.98,0,0,0.98,0,0
 72-82,0,0,0,0,0.98,18.65,0,0.98,0.98,0,0.98,0,0,2.94,5.89,3.93,0,0,0,0,0,0,0,0.98,0
 84-94,0,0,0,1.06,4.25,19.12,0,1.06,2.12,0,0,1.06,0,0,6.37,2.12,1.06,0,0,0,0,0,0,0,1.06
 96-106,0,0,1.09,0,1.09,28.41,0,4.37,3.28,0,0,1.09,0,3.28,6.56,6.56,0,0,1.09,0,0,0,0,0,0
108-118,0,0,0,0,2.3,16.85,0,0,26.04,0,0,0,0.77,1.53,12.26,2.3,0,0,0,0,0,0,0,0.77,0
120,0,1.96,0,0,1.96,29.4,0,0,15.68,0,3.92,0,0,0,21.56,7.84,0,0,0,0,0,0,0,0,0
