stage,epidermis,eye,glial,heart,iridophores,mesenchyme,muscle,neural,olfactory,periderm,spinal_cord,vasculature,visceral_smooth_muscle
 14-21,0,0,0,0,0,0,1,1,0,0,2,0,0
 24-34,0,0.82,0,0.82,0,0,0,40.22,1.64,0,8.21,0,0
 36-46,0,0.81,0,0,0,0,0,113.6,1.61,0,13.7,0,0
 48-58,0,8.03,0.57,0,0,1.15,0,103.86,0.57,0.57,11.48,0,0
 60-70,0,18.65,1.96,0,0,0,0,202.19,0,0.98,11.78,0,0
 72-82,0,22.58,2.94,0,0.98,2.94,0,145.29,0.98,0,7.85,0,0
 84-94,1.06,11.68,2.12,0,0,0,0,71.16,0,0,4.25,0,0
 96-106,0,12.02,0,0,0,0,0,40.44,0,0,1.09,1.09,0
108-118,0.77,7.66,0.77,0,0,2.3,0,45.96,0.77,0,0,0,0.77
120,0,3.92,1.96,0,0,1.96,0,37.24,0,0,3.92,0,0
