stage,blastomeres,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,glial,ionocyte,iridophores,mesenchyme,muscle,neural,olfactory,otic,periderm,spinal_cord,vasculature
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,9.44,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0
 24-34,0,0,0,0,1.64,0,0,0,0,0,0,5.75,0,0,1.64,2.46,0
 36-46,0,0,0,0,1.61,0,0,0,0,0.81,0.81,8.86,0,0,0,0.81,0
 48-58,0,0,0,0,1.72,0,0,0,0,0.57,0,14.35,0.57,0,0,1.72,0
 60-70,0,0,0,0,3.93,0,0,0,0.98,2.94,0,17.67,0,0,0,0.98,0.98
 72-82,0,0,0,0,5.89,0,1.96,0.98,0,0.98,0,11.78,0,0,0.98,1.96,0
 84-94,0,1.06,0,0,3.19,0,1.06,0,0,0,0,7.43,0,1.06,1.06,0,0
 96-106,0,1.09,1.09,0,0,1.09,0,0,1.09,0,0,4.37,1.09,0,0,0,0
108-118,0,0,0,0.77,2.3,0,1.53,0,1.53,0,0,3.06,0,0,0,0,0
120,0,3.92,0,0,5.88,0,0,0,0,1.96,0,3.92,0,0,0,0,0
