stage,axial,blastomeres,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0
  5-6,0,30.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,15.73,0,0,0,0,0,3.15,0,0,0,0,0
 14-21,0,0,2,0,0,0,0,0,0,0,0,12,0,0,0,0,0,19,0,6,7,0,0,0,0,0,1,2,114,99,0,0,0,0,0
 24-34,0,0,0,0,0,1.64,1.64,0,0,0,0,9.85,0,0,0,0,0,4.93,0.82,6.57,9.85,0.82,0,0,0,0,0,0,36.12,34.48,0,0,0,0,0
 36-46,0,0,0,0,0,2.42,3.22,0,0,0,0,7.25,0,0,0,0,0,1.61,0,2.42,5.64,0,0,0,0,0,0.81,0,14.5,1.61,2.42,0,0,0,0
 48-58,0,0,1.15,0,0,1.15,3.44,0,0,0,0,1.15,0,0,0,0,0.57,1.72,1.72,2.3,6.31,0.57,0,0,1.15,0.57,0,0,10.33,0,1.15,1.15,0,0,0
 60-70,0,0,0.98,0,0,1.96,11.78,0,0,1.96,0,4.91,0,0,0,0,0,11.78,2.94,8.83,4.91,0,0,0,0,0,0,0,1.96,0,0,4.91,0,4.91,0
 72-82,0,0,0,0,0,4.91,11.78,0,0,0.98,1.96,7.85,0,0,0,0,0,11.78,4.91,1.96,9.82,0,0.98,0,0.98,0.98,0,0,3.93,0,0.98,8.83,0.98,8.83,0
 84-94,0,0,1.06,0,0,3.19,18.05,0,0,1.06,1.06,4.25,0,0,0,0,0,6.37,3.19,5.31,3.19,0,0,0,0,5.31,0,0,9.56,0,1.06,6.37,0,10.62,1.06
 96-106,0,0,0,1.09,1.09,4.37,32.79,0,1.09,0,2.19,12.02,1.09,0,1.09,0,0,9.84,7.65,5.46,5.46,0,0,1.09,1.09,2.19,0,0,6.56,0,0,3.28,3.28,13.11,1.09
108-118,0,0,0,0,5.36,2.3,19.15,0.77,0,0,1.53,3.06,0,0.77,0,0.77,0,9.96,3.06,5.36,5.36,0,0,0,0,1.53,0,0,9.19,0,0,3.06,0,11.49,0
120,0,0,0,1.96,1.96,3.92,25.48,0,0,1.96,0,3.92,0,0,0,0,0,5.88,0,3.92,3.92,0,0,0,1.96,0,0,0,0,0,0,0,0,13.72,0
