stage,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,glial,gut,immune,ionocyte,mesenchyme,mucous,mural_cell,neural,olfactory,otic,paraxial_mesoderm,periderm,pronephros,spinal_cord,taste,visceral_smooth_muscle,xanthophores
  7-9,0,0,2.63,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0,1,0,1,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,1.64,0.82,0,0,3.28,0,0.82,0,0,0
 36-46,0,0,0,0,0,0,0,0,0.81,0.81,0,0,8.86,0.81,0,0,0,0.81,2.42,0,0,0
 48-58,0,0,4.02,0,0,0,0,0,0.57,0,0,0,21.8,0,0,0,0.57,0,0.57,0,0,0
 60-70,0.98,0,11.78,0.98,0,1.96,0,0,0,0.98,0,0,73.61,0,0,0,1.96,0,6.87,0,0,0
 72-82,1.96,0,59.88,0,0,0.98,0,0.98,0,1.96,0,0,120.74,0,0.98,0,0.98,0,2.94,0.98,0,0
 84-94,0,0,56.29,0,0,1.06,0,0,0,0,1.06,1.06,60.54,1.06,2.12,0,4.25,0,3.19,0,0,0
 96-106,1.09,1.09,49.18,0,0,2.19,0,1.09,0,1.09,1.09,1.09,65.57,1.09,4.37,0,1.09,0,0,0,1.09,1.09
108-118,1.53,0,35.23,0,4.6,0.77,0,0,0,0.77,0,0,72.77,0,1.53,0,1.53,0,1.53,0,0,0.77
120,3.92,0,33.32,0,0,1.96,1.96,0,0,0,0,0,62.71,1.96,1.96,0,0,0,3.92,0,0,0
