stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,92.25,830.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92.25,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,355.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,2.63,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,47.32,2.63,0,0,15.77,0,0,13.14,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84.97,44.06,0,0,18.88,0,0,0,0,0,0,3.15,0,0,0,0,0
 14-21,0,0,0,0,45,3,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,15,0,0,4,20,11,0,0,0,0,9,1,5,3,13,27,0,0,1,0,0
 24-34,0,0,0.82,0,35.3,2.46,0,7.39,0,4.93,0.82,1.64,0,0,1.64,0,0.82,0,1.64,0,0,29.55,0.82,0.82,23.8,54.18,6.57,0,2.46,0,0,27.09,0,0,0,4.1,16.42,0,0,2.46,0,0
 36-46,0,0,0,0,7.25,0,0,10.47,0,4.03,4.83,8.06,0,0,0,0.81,0,0,1.61,0,0.81,35.45,4.03,0,16.11,56.4,1.61,0,0.81,0,0,26.59,0,0,0.81,0,14.5,0,0,1.61,0,1.61
 48-58,0.57,0,0.57,0,6.31,0.57,0,9.18,0,1.15,5.16,13.2,0,0.57,0.57,0,0.57,0,0.57,0,0,42.46,1.72,0.57,13.77,40.74,4.02,0.57,1.15,0,0,25.82,0,0,0,0,18.36,0,0,1.72,0,1.72
 60-70,0,0,0,0,5.89,0,0,25.52,0,0.98,7.85,7.85,0,0,0,0.98,0,0,0,1.96,0,94.23,2.94,0.98,1.96,34.35,2.94,0,0.98,0,0.98,11.78,0,0,0,0,8.83,0,0,1.96,0,0
 72-82,0,0,0,0,0,0,0,29.45,0,3.93,9.82,23.56,0.98,0,0,0.98,0,0,0,0,0,111.91,0.98,2.94,5.89,42.21,1.96,1.96,5.89,0,0,13.74,0,0,0,0,4.91,0.98,2.94,5.89,0.98,0.98
 84-94,0,0,0,0,12.74,3.19,0,19.12,0,3.19,7.43,6.37,5.31,0,0,2.12,1.06,0,2.12,0,0,81.78,3.19,2.12,2.12,15.93,2.12,0,4.25,0,0,20.18,0,0,0,0,5.31,0,1.06,3.19,0,1.06
 96-106,0,0,0,0,4.37,1.09,0,9.84,0,1.09,4.37,6.56,2.19,0,3.28,4.37,1.09,0,1.09,3.28,1.09,37.16,0,3.28,4.37,19.67,3.28,1.09,2.19,0,1.09,8.74,0,0,0,0,1.09,0,5.46,1.09,2.19,1.09
108-118,0,0,0.77,0,6.89,0,1.53,9.19,1.53,3.06,3.06,7.66,6.13,0,1.53,3.83,1.53,1.53,0,0.77,0,33.7,0,0,4.6,16.85,0,0.77,1.53,0,0.77,5.36,0,0,0,0,2.3,0.77,0.77,2.3,0.77,3.06
120,0,0,0,0,5.88,0,0,13.72,0,0,1.96,5.88,7.84,0,0,3.92,1.96,1.96,1.96,1.96,0,17.64,1.96,0,1.96,25.48,1.96,0,0,0,0,11.76,0,0,0,0,0,0,1.96,3.92,0,0
