stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_mesenchyme,glial,gut,immune,ionocyte,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,92.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,42.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.51,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,3.15,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,1,1,0,0,0,0,8,0,0,0,0,0
 24-34,0,0,0,0,0,1.64,0,0,0,0,0,0,0,0.82,0,0,0,132.16,0,3.28,0,0,0,0,0,41.86,0,0,2.46,0,0
 36-46,0,0,0,0.81,0,20.95,0,2.42,0,0,0,0,0,1.61,0,0,0,331.94,0,3.22,0,0,0,0,0,70.09,0,0,0,0,0
 48-58,0,0,0,0.57,0,71.15,0,6.89,0,0.57,0,0,0.57,3.44,0.57,0.57,0,398.79,0,1.72,0.57,0,0,0.57,0,72.3,0,0,0.57,0,0.57
 60-70,0,0,0,1.96,0,179.62,0,4.91,0,0,0,0,0,1.96,0,0,0,641.92,0,0.98,0,0,0,0.98,0,87.36,0,0,0,0,0
 72-82,0,0,0,0.98,0,218.91,0.98,12.76,0,0,0,0,0,5.89,0,0,0.98,474.14,0,3.93,1.96,0,0.98,0,0,39.27,0,0,0.98,0,0
 84-94,0,2.12,0,2.12,0,152.93,1.06,9.56,0,0,1.06,1.06,0,5.31,0,0,0,267.63,0,1.06,1.06,0,0,1.06,0,25.49,0,0,0,0,0
 96-106,0,0,0,3.28,4.37,145.35,1.09,8.74,0,2.19,0,1.09,0,6.56,0,0,1.09,217.48,0,5.46,0,0,0,2.19,0,9.84,0,0,1.09,1.09,0
108-118,0,0,0,3.83,0,107.23,0.77,14.55,1.53,0,0,0,0,2.3,0,0,0,253.53,0,2.3,0,0,0,0,0,8.43,1.53,0,0.77,2.3,0
120,0,0,0,0,0,86.23,0,23.52,1.96,0,0,0,0,5.88,0,0,1.96,246.93,1.96,1.96,3.92,0,0,3.92,1.96,15.68,0,1.96,1.96,0,0
