stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,184.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,36.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,9.44,0,0,6.29,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,44.06,6.29,0,0,22.03,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,2,22,3,1,0,0,2,0,0,0,0,1,0,0,0,0,7,0,0,0,72,2,3,1,0,0,6,5,0,1,6,25,0,0,1,0,0
 24-34,0,0,0,0,6.57,0,15.6,0.82,1.64,9.85,0.82,0,0,1.64,2.46,0,0.82,0.82,0,9.85,0,0,9.85,216.71,0.82,4.93,2.46,0,0,9.85,0,0,0,3.28,50.07,0,0,8.21,0,0.82
 36-46,0,0,0,0,4.03,0,17.72,1.61,0.81,16.11,0,0,0,2.42,0.81,0,0.81,0,0,21.75,0,0,8.06,207.06,0.81,4.03,0.81,0,0,8.06,0,1.61,0,0,57.2,0,0,6.45,0,0
 48-58,0.57,0,0,0.57,4.02,0,52.22,1.15,2.3,20.66,0,0,0,1.15,1.15,0,0,0,0,25.25,0,1.15,5.16,149.19,0,4.59,1.15,0,0,4.59,0,0.57,0,0,35,0,0,3.44,0,0.57
 60-70,0,0,0,0,1.96,0,88.34,0.98,0,36.32,0,0,0,5.89,0,0,0.98,0,0,26.5,0,0.98,0.98,142.32,0.98,5.89,0,0,0,0.98,0,0,0,0,34.35,0,0.98,4.91,0.98,1.96
 72-82,0,0,0,0,7.85,0,174.74,1.96,3.93,34.36,1.96,0,1.96,5.89,0,1.96,2.94,0,0,54.97,0.98,1.96,3.93,151.18,0,2.94,3.93,0,0,2.94,0,0,0,0,18.65,0,1.96,11.78,0.98,0.98
 84-94,0,0,0,0,11.68,1.06,134.88,2.12,2.12,37.17,4.25,0,2.12,14.87,6.37,2.12,3.19,1.06,1.06,57.35,1.06,0,5.31,107.27,3.19,4.25,1.06,0,0,15.93,0,0,0,0,8.5,3.19,3.19,6.37,2.12,1.06
 96-106,0,0,0,0,13.11,0,128.96,2.19,1.09,26.23,3.28,0,3.28,20.76,4.37,3.28,1.09,1.09,0,36.06,2.19,2.19,2.19,91.8,1.09,8.74,6.56,0,4.37,14.21,0,0,0,0,8.74,2.19,2.19,13.11,0,5.46
108-118,0,0,1.53,0,17.62,0.77,85.79,3.83,4.6,30.64,2.3,0,1.53,19.92,3.06,3.06,3.06,1.53,0,36,1.53,0,4.6,110.3,3.83,4.6,5.36,0,2.3,14.55,0,2.3,0,0,3.83,2.3,0,9.19,0.77,2.3
120,0,0,0,0,19.6,0,47.03,3.92,0,17.64,5.88,0,1.96,21.56,1.96,0,0,0,0,43.12,0,0,1.96,88.19,0,0,0,0,0,23.52,0,0,0,0,1.96,1.96,3.92,0,0,0
