stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,448.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.53,0,0,0,0,0,0,0,0,0,0
  5-6,42.91,735.56,0,6.13,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,6.13,0,6.13,0,0,0,0,0,0,0,0,0,0
  7-9,7.89,7.89,0,21.03,0,34.17,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,186.64,0,0,0,92,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,6.29,0,12.59,0,9.44,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,107,3.15,0,0,28.32,0,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,28,8,0,0,5,1,1,0,0,0,0,0,0,0,20,0,0,5,190,3,1,1,7,0,0,21,2,1,18,63,0,0,0,0,0
 24-34,0,0,0,0,6.57,41.86,0,0,6.57,0.82,0,0.82,0,0,0,2.46,0,0,31.19,0,0,10.67,290.58,2.46,0.82,4.1,0,0,6.57,0.82,0,0,3.28,53.36,0,0,5.75,0,0
 36-46,0,0,0,0,1.61,41.09,0.81,0,6.45,0,0,0,0,0,0,0,0,0,20.95,0,0,9.67,150.66,0,0.81,0,0,0,2.42,0,0,0,0,32.23,0,0.81,1.61,0,0.81
 48-58,0,0,0,0,1.72,57.95,0,1.72,5.74,0,0,0,0,0,0,0.57,0,0.57,20.08,0,0.57,3.44,104.43,0,0,1.15,0,0,1.72,0,0,0,0,20.66,0,0,1.72,0,0.57
 60-70,0,0,0,0,1.96,45.15,0,0.98,10.8,0,0,0.98,0.98,0,0,0,0,0,26.5,0,2.94,2.94,86.37,0,0,0.98,0,1.96,0.98,0,0,0,0,6.87,0,0,0,0.98,0
 72-82,0,0,0.98,0.98,2.94,40.25,0,0.98,9.82,0.98,0,0.98,0.98,0,0,0,0,0,24.54,0.98,2.94,3.93,83.44,0,0,1.96,0,0.98,3.93,0,0,0,0,5.89,0.98,0,0.98,0.98,0.98
 84-94,0,0,0,0,5.31,13.81,1.06,0,6.37,1.06,0,0,1.06,2.12,0,0,0,0,13.81,1.06,0,0,13.81,0,1.06,1.06,0,1.06,0,0,0,0,0,6.37,0,0,0,3.19,0
 96-106,0,0,0,0,4.37,7.65,0,2.19,6.56,2.19,0,1.09,1.09,1.09,0,0,0,0,18.58,0,0,1.09,21.86,0,2.19,0,0,0,4.37,0,0,0,0,0,0,0,2.19,1.09,0
108-118,0,0,0,0,2.3,7.66,0.77,0,6.89,0.77,0,1.53,0.77,0,0.77,0,0,0.77,11.49,0,0,1.53,30.64,0,0.77,0,0,0,0,0,0,0,0,4.6,0.77,0,1.53,0.77,0
120,0,0,0,0,5.88,7.84,0,0,9.8,1.96,0,0,1.96,0,0,0,0,0,13.72,0,0,1.96,31.36,1.96,0,0,0,0,3.92,0,1.96,0,0,3.92,1.96,0,3.92,0,0
