stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,368.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.71,0,0,0,0,0,0,0
  5-6,6.13,343.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.39,0,0,0,18.39,0,6.13,0,0,0,0,0,0,0
  7-9,0,2.63,5.26,0,0,0,10.51,0,0,0,0,0,0,0,0,0,0,0,0,0,128.81,2.63,0,0,26.29,0,0,0,0,0,0,0,0,0
 10-12,0,6.29,3.15,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0,0,0,78.67,6.29,0,0,34.62,0,0,0,0,0,0,0,0,0
 14-21,0,0,2,3,1,0,7,0,0,3,0,0,0,0,0,0,0,5,0,1,62,0,0,0,2,0,0,10,5,11,0,0,0,0
 24-34,0,0,0,0.82,0.82,0,11.49,0,0,0.82,0,0,0,0,0,0,0,4.93,0,2.46,65.67,0,2.46,0,0,0,0,0,0.82,13.13,0,1.64,0,0
 36-46,0,0,0,0.81,0,0,11.28,0,0,4.83,0,0,0,0,0,0,0,7.25,0,1.61,50.76,0.81,0,0,0,0,1.61,0,0,9.67,0,0,0,0
 48-58,0,0,0,1.15,0,0,9.75,0.57,0,2.87,0,0,0,0,0,0,0,5.16,0,0.57,24.67,0.57,0.57,0,0,0.57,0,0,0,3.44,0,1.15,0,0
 60-70,0,0,0,0,0,0,15.7,0,0,0.98,0,0,0.98,0,0,0,0,7.85,0.98,0.98,25.52,0,0,0,0,0,0,0,0,3.93,0.98,0.98,0,0
 72-82,0,0,0,0,0,0,4.91,0,0.98,4.91,0,0.98,0,0.98,0,0.98,0,14.72,0,1.96,14.72,0,0.98,0,0,0,0.98,0,0,0.98,0.98,0,0,0
 84-94,0,0,0,0,0,0,7.43,0,0,1.06,0,0,0,1.06,2.12,0,1.06,3.19,0,0,12.74,1.06,0,0,0,0,2.12,0,0,0,0,0,0,0
 96-106,0,0,0,5.46,0,0,2.19,0,2.19,4.37,0,0,0,0,0,0,0,5.46,1.09,0,8.74,0,0,1.09,0,2.19,1.09,0,0,2.19,0,0,0,0
108-118,0,0,0,0.77,0,0,6.13,0,0,3.06,0.77,0,0.77,0.77,1.53,0.77,0,7.66,0,0,13.02,0,0,0.77,0,0,1.53,0,0,2.3,0,0,0,0
120,0,0,0,0,0,1.96,1.96,0,0,1.96,0,0,1.96,0,0,0,0,3.92,0,0,9.8,0,0,1.96,0,0,3.92,0,0,0,0,0,1.96,1.96
