stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.71,0,0,0,0,0,0,0,0,0
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,3.15,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,47.2,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0,2,0,44,1,0,0,0,4,0,0,0,0
 24-34,0,0,0,142.83,0,1.64,5.75,0,0,0.82,0,0,0,0,0,0,0,4.93,4.1,0,3.28,39.4,0,14.78,8.21,0,353.79,0,0,0,0.82,4.1,0,0,0.82,0
 36-46,0,0,0,93.46,0,0.81,7.25,0,3.22,0.81,0,0,0,0,0.81,0,0.81,10.47,1.61,0,0,44.31,0,6.45,6.45,0,329.52,0,0,0,0,4.03,0,0,0,0
 48-58,0,0,0,80.91,0.57,8.61,16.07,0.57,4.59,0.57,0,0,0,0.57,0,0,0,17.21,1.72,0,0,49.92,0,4.02,1.15,0,214.6,0,0,0,0,4.02,0,0,0,0.57
 60-70,0,0,0,113.86,0,12.76,19.63,0,8.83,0,0,0,0,0.98,0.98,0,0,29.45,2.94,0.98,0.98,42.21,0,1.96,2.94,0,201.21,0,0,0,0,2.94,2.94,0.98,0.98,0
 72-82,0,0.98,0,132.52,0,16.69,23.56,0,8.83,0.98,0,0,2.94,0,0.98,0,0,55.95,2.94,0.98,0,61.84,0,0,4.91,0,190.44,0,0.98,0,0,0.98,2.94,0,0.98,0.98
 84-94,0,0,0,283.56,1.06,6.37,54.16,1.06,14.87,1.06,0,0,8.5,0,0,0,0,39.3,8.5,0,1.06,59.47,0,5.31,1.06,0,586.24,0,0,0,0,1.06,9.56,0,0,0
 96-106,0,2.19,0,276.49,2.19,13.11,42.62,0,25.14,10.93,0,2.19,5.46,1.09,1.09,2.19,0,32.79,12.02,1.09,0,30.6,0,7.65,1.09,0,369.38,0,1.09,1.09,0,0,7.65,0,0,1.09
108-118,0,0,0,283.41,0,2.3,72,0,17.62,19.15,0,0,9.19,0.77,0,0,0,29.11,6.89,0,0.77,33.7,0,1.53,1.53,0.77,239.75,0,0.77,0,0,0.77,6.89,0.77,0,0.77
120,0,0,0,252.81,0,0,62.71,0,13.72,11.76,0,1.96,1.96,0,0,0,0,23.52,9.8,1.96,0,33.32,0,1.96,1.96,0,219.5,0,0,0,0,0,5.88,0,0,0
