stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,13.18,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,12,1,0,0,0,0,0,0,0,9,2,0,0,0,0,0
 24-34,0,0,0,0.82,0,0,3.28,0.82,0,0,0.82,0,3.28,0,0,0,0,0,0,98.5,0,0,42.68,10.67,0,0,0,0,0,0,0,4.93,0.82,0.82,0,0,0,0
 36-46,0,0,0,2.42,0,0,8.06,0,0.81,10.47,0,0,3.22,0,0,0,0,0,0.81,313.41,0,2.42,70.09,14.5,0.81,0.81,0,0,0,0,0,0.81,0,2.42,0,0,0,0.81
 48-58,0,0,0,0,0,0,15.49,1.72,0.57,23.53,0.57,0,3.44,0.57,0,0,0,0,0,443.55,0,1.15,68.86,18.36,0,0,0,0,0.57,0,0.57,2.87,0,2.3,0,4.02,0.57,0.57
 60-70,0,0,0,0.98,0,0,18.65,2.94,0,43.19,0,0,2.94,0,0,0,1.96,0.98,0,771.48,0,14.72,75.58,23.56,0.98,0.98,0.98,0,2.94,0,0,0.98,0,2.94,0,17.67,1.96,12.76
 72-82,0,0,0,3.93,0,0,31.41,3.93,0,50.06,4.91,0.98,10.8,0,0.98,0.98,0,0,0,962.03,0.98,11.78,74.61,29.45,0,1.96,0,0,4.91,0,1.96,0,0,0.98,0,32.39,0.98,28.47
 84-94,0,0,0,5.31,1.06,0,50.98,5.31,1.06,37.17,6.37,0,3.19,0,1.06,0,1.06,0,0,629.79,0,11.68,49.92,19.12,0,1.06,1.06,0,2.12,2.12,0,2.12,0,3.19,0,21.24,2.12,24.43
 96-106,0,0,1.09,4.37,1.09,0,41.53,3.28,2.19,25.14,2.19,1.09,5.46,1.09,0,1.09,3.28,0,0,726.74,1.09,17.49,40.44,41.53,1.09,0,3.28,0,8.74,0,0,2.19,0,1.09,0,27.32,1.09,29.51
108-118,0,0,0,4.6,1.53,0.77,23.74,3.83,2.3,26.04,3.06,0,1.53,0.77,0,0,0.77,0,0,520.85,0,18.38,32.94,25.28,0,0,3.06,0,10.72,1.53,0,0,0,3.06,0.77,21.45,2.3,17.62
120,0,0,0,0,0,1.96,17.64,3.92,0,11.76,3.92,1.96,3.92,0,0,0,0,1.96,0,425.27,0,9.8,15.68,25.48,0,0,0,0,9.8,0,0,1.96,0,0,1.96,15.68,3.92,21.56
