stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,197.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,36.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,2.63,0,0,7.89,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,39.43,5.26,0,0,21.03,0,0,0,0,0,0,0,0,0,0,0
 10-12,3.15,0,3.15,0,0,6.29,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,47.2,0,0,0,25.18,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,16,3,0,0,0,0,2,0,1,0,0,0,0,0,0,5,0,0,5,29,0,0,1,1,0,0,5,1,1,8,14,0,1,0,0
 24-34,0,0,0,9.03,0,9.03,0.82,0.82,0.82,0,0,0.82,0,0.82,0,0.82,0,0,6.57,0,0,3.28,73.88,0,0,0.82,0,0,1.64,0,0,0,1.64,10.67,0,2.46,0,0
 36-46,0,0,0,0.81,0,15.31,0.81,1.61,4.83,0,0,0,0,0,0,0,0.81,1.61,16.92,0,0,7.25,98.29,3.22,0,0,0,0,0.81,0,0,0,0,25.78,0,2.42,0,2.42
 48-58,0,0,0,2.87,0,21.8,0,0.57,4.59,0,0,0,0,0,0,0.57,0,0,16.64,0,1.15,2.87,63.69,0,0.57,1.72,0,0,0.57,0,0,0,0,14.92,0,1.72,0,0.57
 60-70,0,0,0,1.96,0,65.76,0.98,0.98,4.91,0,0,0.98,0,0,0,0,0,0,18.65,0,0.98,3.93,88.34,0.98,0.98,0.98,0,0,1.96,0,0.98,0,0,8.83,0,2.94,0.98,0
 72-82,0,0,0,1.96,1.96,21.6,0,0,4.91,0,0,0,0.98,1.96,0,0,0,0,18.65,0,0.98,1.96,54.97,0,0,0.98,0,0,0.98,0,0,0,0,1.96,0,3.93,1.96,0
 84-94,0,0,0,4.25,6.37,25.49,2.12,1.06,7.43,0,0,0,1.06,1.06,0,2.12,0,0,23.36,1.06,0,1.06,35.05,1.06,0,3.19,0,0,4.25,0,0,0,0,2.12,1.06,3.19,0,0
 96-106,0,0,0,3.28,0,22.95,0,0,5.46,2.19,0,0,1.09,0,1.09,0,1.09,2.19,6.56,2.19,0,2.19,28.41,0,1.09,4.37,0,1.09,2.19,0,0,0,0,0,1.09,3.28,1.09,1.09
108-118,0,0,0,7.66,1.53,13.02,0,0,2.3,0.77,0,0.77,1.53,0.77,0,0,0.77,1.53,11.49,0.77,0.77,3.06,16.09,0,0,3.83,0,0,0.77,0,0,0,0,1.53,0,1.53,0,0
120,0,0,0,3.92,0,9.8,0,0,7.84,1.96,0,0,1.96,0,0,0,0,0,11.76,0,0,1.96,25.48,0,0,3.92,0,0,3.92,0,0,0,0,0,0,0,0,0
