stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,10.51,0,0,0,13.14,2.63,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,3.15,0,0,3.15,3.15,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,5,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,5,0,0,0,1,273,1,4,2,0,18,3,0,0,0,0,0
 24-34,0,0,0.82,0.82,0,0,0,0,0,0,0.82,2.46,0,0,0,2.46,0,0,0,2.46,4.1,0,0,14.78,0,0,1.64,0,293.87,0,0,0.82,0,0,3.28,0,0,0,0,0
 36-46,0,0,0,2.42,0,0,0.81,0,0.81,0,0,0.81,0,0,0,0,0,0,0,1.61,0,0,0,9.67,0.81,2.42,0,0,306.96,0.81,0,0,0,0,1.61,0,0,0,0,0.81
 48-58,0,0,0,2.3,0,0,1.72,0,2.3,0.57,0.57,2.87,1.15,0,0,1.72,0,0,0,2.3,0.57,0.57,0,13.77,0,4.02,1.15,0,211.73,0,0,1.72,0,0,4.02,0,0,0,0,0.57
 60-70,0,0.98,0,1.96,0,0,6.87,0,0.98,0,0,2.94,1.96,0,0,0.98,0,0,0,1.96,3.93,0,0.98,9.82,0.98,5.89,0.98,0,194.34,0,0,0,0,0,0,0,0,0.98,0,0
 72-82,0,5.89,0,7.85,0,0,1.96,0.98,4.91,0,0.98,20.61,0.98,0,3.93,15.71,0,0.98,0.98,3.93,1.96,6.87,0.98,10.8,0,4.91,0,0,270.94,0,0,1.96,0,0,0,0,0,1.96,0.98,0
 84-94,0,1.06,0,14.87,0,0,1.06,0,8.5,0,1.06,20.18,4.25,0,7.43,23.36,0,0,3.19,2.12,5.31,10.62,0,10.62,1.06,26.55,0,0,632.97,0,0,4.25,0,0,0,0,0,0,2.12,0
 96-106,0,5.46,0,31.69,1.09,0,5.46,0,15.3,1.09,4.37,45.9,0,0,7.65,44.81,0,0,3.28,10.93,5.46,5.46,0,18.58,1.09,25.14,1.09,0,790.13,0,0,2.19,1.09,0,0,0,0,1.09,7.65,2.19
108-118,0,3.06,2.3,29.11,1.53,0.77,6.89,0,14.55,0.77,2.3,59.75,0,0,5.36,23.74,0.77,0,7.66,3.83,6.89,14.55,0.77,10.72,0.77,19.15,1.53,0,537.71,0,0,4.6,0,0,0.77,1.53,0.77,0,3.83,0
120,0,1.96,0,19.6,0,0,1.96,0,15.68,0,3.92,47.03,0,1.96,1.96,17.64,0,0,7.84,3.92,1.96,21.56,0,15.68,0,7.84,0,0,354.72,0,0,3.92,0,0,0,0,0,0,5.88,0
