stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,26.36,79.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,224.02,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,122.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,6.13,0,251.32,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,2.63,0,0,0,2.63,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,39.43,2.63,0,0,18.4,0,36.8,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.44,3.15,0,0,0,0,9.44,3.15,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,526,0,0,0,0,11,0,0,0,1,0,4,1,0,0,1,1,1,8,0,2,9,0,0,0,0,0,16,0,1,0,0,3,0,0,0,0,1
 24-34,0,0,0,0,1386.43,1.64,0,24.63,0,129.7,0.82,4.93,4.93,0.82,1.64,32.01,8.21,0,0.82,0.82,2.46,29.55,31.19,0,15.6,257.75,1.64,9.85,2.46,0,0,23.8,0,0,1.64,0,38.58,0,0,6.57,0,63.21
 36-46,0,0,0.81,0,923.3,0,0,31.42,0,181.28,12.09,8.06,6.45,0,0.81,54.79,2.42,1.61,1.61,2.42,2.42,67.68,12.89,0,19.34,206.25,0.81,18.53,2.42,0,0,20.95,0,0,3.22,0,38.67,0,0,4.83,0,138.58
 48-58,0,0,0,1.15,883.66,1.72,0,77.46,0.57,261.08,58.53,16.64,2.3,1.15,0.57,52.22,4.59,2.87,8.03,2.87,3.44,166.4,15.49,1.72,29.26,224.93,2.3,22.95,2.3,0,0,21.23,0,0,0,1.15,46.48,0,0.57,1.72,0,236.41
 60-70,0.98,0,0,0,1002.13,2.94,0,78.52,0,261.08,95.21,18.65,22.58,0,0,38.28,3.93,1.96,23.56,1.96,12.76,242.44,19.63,4.91,28.46,160.97,0,27.48,0.98,0,0.98,27.48,0,0,2.94,0,17.67,7.85,1.96,3.93,0.98,211.03
 72-82,0,0,1.96,0,1140.69,8.83,0.98,166.88,0.98,269.96,191.42,39.27,108.96,0.98,4.91,61.84,18.65,7.85,36.32,1.96,15.71,578.2,43.19,5.89,45.16,223.82,0.98,51.05,5.89,0,0.98,44.17,0.98,0,0,0,22.58,32.39,4.91,12.76,2.94,242.47
 84-94,1.06,0,2.12,2.12,2138.94,4.25,4.25,140.19,2.12,499.16,130.63,20.18,249.58,0,3.19,96.65,32.92,13.81,75.4,5.31,29.74,429.06,39.3,4.25,29.74,129.57,0,129.57,4.25,0,1.06,87.09,0,0,2.12,0,5.31,144.44,0,2.12,7.43,172.05
 96-106,0,0,3.28,5.46,2731.02,33.88,20.76,224.03,4.37,550.79,134.42,64.48,410.91,0,6.56,112.56,51.36,7.65,121.31,15.3,20.76,648.06,76.5,5.46,32.79,356.27,5.46,198.9,10.93,0,2.19,139.88,0,0,2.19,2.19,2.19,210.92,5.46,16.39,6.56,214.2
108-118,0.77,0,0.77,8.43,2759.76,16.85,27.57,114.89,3.06,744.52,126.38,39.83,424.34,0,3.06,83.49,49.02,6.13,81.96,9.19,29.87,688.6,39.83,5.36,29.87,264.26,1.53,134.04,9.96,0,2.3,147.06,0,0,7.66,0.77,10.72,245.11,5.36,9.19,3.83,220.6
120,1.96,0,3.92,5.88,2004.86,9.8,11.76,72.51,5.88,517.38,137.18,17.64,215.58,0,1.96,52.91,33.32,1.96,45.08,9.8,15.68,597.73,41.16,9.8,45.08,201.86,3.92,78.39,9.8,0,0,74.47,0,0,3.92,0,0,70.55,5.88,3.92,1.96,105.83
