stage,blastomeres,endocrine_pancreas,epidermis,eye,glial,lateral_line,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,spinal_cord,vascular_smooth_muscle,vasculature
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0
 10-12,0,0,0,6.29,0,0,0,0,6.29,0,0,0,3.15,0,0,0,0
 14-21,0,0,1,0,0,0,2,0,11,0,0,0,0,0,7,0,0
 24-34,0,0,0,2.46,0,0,0,0,20.52,0,0,0,0,0.82,7.39,0,0.82
 36-46,0,0,0,0.81,0,0,0,0,37.87,0,0,0,0,0,7.25,0,0
 48-58,0,0,0,6.31,0.57,0,0,0,63.12,0,0.57,0,0,0,9.18,0,0
 60-70,0,0,0,21.59,0.98,0,0,0,121.71,0,0,0,0,0,8.83,0,0
 72-82,0,0,0,30.43,2.94,0,1.96,0.98,134.49,0,0,0,0,0,8.83,0.98,0.98
 84-94,0,0,0,10.62,0,0,0,0,45.67,0,1.06,0,0,1.06,3.19,0,0
 96-106,0,1.09,1.09,15.3,2.19,1.09,1.09,0,65.57,0,0,1.09,0,0,2.19,0,0
108-118,0,0.77,0.77,12.26,2.3,0,0.77,0.77,39.83,0,0.77,0.77,0,0,0.77,0,0
120,0,0,0,13.72,0,0,0,0,43.12,0,0,0,0,1.96,1.96,0,0
