stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fast_muscle,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.44,6.29,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,3,0,1,0,0,0,1,0,0,0,2,0,0,0,0,0,0,1,8,0,0,0,0,1,0,2,2,12,0,0,0
 24-34,0,0,2.46,0,1.64,0,0,0,0,0,0,0,0.82,0,0.82,0,2.46,0.82,0,1.64,5.75,0,0,0,0,0,0,0,0,0,0,0.82,0
 36-46,0,0,0.81,0,0,0,0,0,0,0,0.81,0,0,0,0,0,4.83,0.81,0.81,0.81,11.28,0,0.81,0,0,0,0,0,0,4.83,0,0.81,0
 48-58,0,0,0,0,0.57,0,0,0.57,0,0,0,0,1.15,0,0.57,1.15,2.3,0,0,1.72,7.46,0,0,0,0,0,0,0.57,0,4.02,0,0.57,0
 60-70,0,0,0.98,0,4.91,0,0,0.98,0,0,0,0,0,0,0,0,9.82,0,0,0,9.82,1.96,0,0,0.98,0,0,0.98,0,0,0,0,0
 72-82,0,0,1.96,0.98,4.91,0,0,1.96,0,0,0.98,0,0.98,0.98,0,0,6.87,0,0,0,10.8,0,0,0.98,0.98,0,0,0,0,0.98,0,0,0
 84-94,0,2.12,1.06,0,3.19,0,0,1.06,1.06,0,0,0,2.12,1.06,0,0,4.25,0,1.06,0,6.37,1.06,0,0,1.06,0,0,0,0,3.19,0,0,1.06
 96-106,0,0,1.09,1.09,5.46,0,1.09,5.46,0,0,0,0,2.19,0,0,0,3.28,0,0,1.09,5.46,1.09,0,0,1.09,0,0,0,0,0,0,0,0
108-118,0,0.77,0.77,0.77,6.89,0.77,0,2.3,0,0,0,1.53,1.53,0,0,0,4.6,0,1.53,0.77,4.6,0.77,0,3.06,3.06,0,0.77,0,0,0.77,0.77,1.53,0.77
120,0,0,3.92,0,3.92,0,1.96,3.92,3.92,0,0,0,1.96,0,0,0,5.88,0,0,0,0,0,1.96,0,1.96,0,0,0,0,0,0,1.96,0
