stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,spinal_cord,vasculature,visceral_smooth_muscle
  3-4,65.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,61.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,39.43,0,0,0,0,0,0,0,0,0,0,0,0,57.83,0,0,0,2.63,0,0,0,0,0,0
 10-12,0,0,0,0,34.62,0,0,0,0,0,0,0,0,0,0,0,0,84.97,0,0,0,0,0,0,0,0,0,0
 14-21,0,2,1,1,3,0,0,2,0,0,0,0,0,0,0,0,1,86,0,1,0,0,0,1,0,45,0,0
 24-34,0,0.82,1.64,0,2.46,0,0,18.06,0,0,0.82,0,0,0.82,0,1.64,0.82,329.16,0,1.64,0.82,0,0.82,0,0,108.35,0,0
 36-46,0,0,0,0,60.43,0,0,109.57,0,0,0,0,0,0,1.61,3.22,1.61,565.58,0,0,0,0,1.61,0,0,178.05,0.81,0
 48-58,0,0,0.57,0.57,95.25,0.57,0,226.65,0,0,0,0,0.57,0,0,2.3,0,394.2,0.57,0.57,0,0,0.57,0,0.57,145.17,0,0
 60-70,0,0,0,0,42.21,0,0,196.3,0,0.98,0,0.98,0,0,0,3.93,0,213.97,0,0.98,0,0,1.96,0,0,59.87,0,0
 72-82,0,0,3.93,2.94,39.27,0,0.98,185.53,0.98,0,0,0,0.98,0,0,5.89,0,143.32,0,0.98,0.98,0,1.96,0,0,30.43,0.98,0.98
 84-94,0,0,1.06,0,42.48,0,0,132.75,0,0,0,0,0,0,0,6.37,1.06,77.53,0,0,2.12,0,3.19,0,1.06,20.18,0,0
 96-106,0,0,4.37,0,25.14,0,0,123.49,0,0,0,0,0,1.09,0,6.56,0,73.22,0,0,0,0,5.46,0,0,17.49,0,0
108-118,0,0,1.53,0.77,16.09,0,0,104.94,0,0,0.77,0,0.77,0,0,6.89,0.77,88.09,0,0,0,0,5.36,0,0.77,16.09,0,0
120,0,0,1.96,0,15.68,0,0,137.18,0,1.96,0,0,1.96,0,0,0,3.92,115.63,0,0,0,0,1.96,0,0,11.76,3.92,0
