stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,3.15,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,3.15,0,0,3.15,0,0,0,0,0
 14-21,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,0,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,1.64,0,0,0,0,0,0,0,0,0,0.82,0,0,0,0,0,7.39,0,0,0,0,0,0,0,4.1,0,0,0.82,0
 36-46,0,0,0,0,11.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.06,0,0,0,0,0,0.81,0.81,0.81,0,0,0,0
 48-58,0,0,0.57,0,40.74,0,0,2.3,0,0,0,0,0,0,0,0,0,0,0,0,6.89,0,0,0,0,0,0.57,0,1.15,0,0,0.57,0
 60-70,0,0,0.98,0,188.45,0,0,0,0,0,0,0,0,0,0,0,0.98,0,0,0,8.83,0,0,0,0,0,0.98,0,0.98,0,0,0.98,0
 72-82,0,0,2.94,0.98,395.61,0,0,14.72,0,0,0.98,0.98,0,0,0.98,0,5.89,0,0,0,24.54,0,0,0,0,0.98,0,0,0,0,0,2.94,0
 84-94,0,0,2.12,0,282.5,0,0,14.87,0,0,0,2.12,0,0,0,0,4.25,1.06,1.06,1.06,12.74,1.06,0,0,0,0,0,0,2.12,0,1.06,0,1.06
 96-106,0,1.09,0,3.28,266.65,0,0,18.58,0,0,0,0,0,1.09,0,2.19,7.65,0,0,0,20.76,0,0,1.09,0,2.19,0,1.09,0,1.09,0,2.19,0
108-118,0,0,1.53,0.77,160.85,0.77,0,12.26,1.53,0,0,0,0.77,0,0,0,2.3,0,0,0,10.72,0,0.77,0,0,0,0,0,0,0,0,0.77,0
120,0,0,5.88,0,115.63,0,1.96,9.8,3.92,0,0,0,0,0,0,1.96,3.92,0,0,0,5.88,0,1.96,0,0,0,0,0,0,0,0,0,0
