stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,197.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,42.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,2.63,5.26,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,3.15,0,0,0,0,12.59,0,0,0,0,0,0,0,0,0,0,0,12.59,3.15,0,0,18.88,0,0,3.15,0,6.29,0,0,0,0,0,0,0,0
 14-21,0,0,2,9,1,0,1,0,0,0,5,6,0,0,0,0,0,0,0,7,1,0,3,53,1,1,0,1,0,0,0,6,1,1,1,38,0,0,0,0,0
 24-34,0,4.1,0,4.93,0,0,7.39,0,0,0.82,0,0,0,0,0.82,0,0,0.82,0.82,8.21,1.64,0,2.46,201.11,0,9.85,1.64,0,0,0,0,0,0.82,0,0.82,77.98,0,0,0.82,0,0
 36-46,0,1.61,0.81,1.61,0,0,19.34,0,0,6.45,0,0,0,0,0,0,0,1.61,0,15.31,3.22,0,1.61,384.3,0,8.06,0,0,0,0.81,0,0,0,0,0,99.1,0,0.81,0,0,0
 48-58,0,2.3,0,1.15,0,0,67.14,0.57,0.57,6.31,0,6.89,0.57,0,0.57,0,1.15,0,0.57,29.26,3.44,0,3.44,375.27,0,5.16,0.57,0,0,0.57,0,0,0,0,0,74.02,0,0,1.15,0,0
 60-70,0,0,0,1.96,0,0,153.12,0,0,10.8,0.98,4.91,0,0,0,0.98,0,5.89,0,31.41,0.98,0,2.94,494.69,0,8.83,1.96,0,0,0.98,0,0,0,0,0,64.78,0.98,1.96,0,0.98,0
 72-82,0,2.94,0,3.93,0.98,0,209.09,0,1.96,36.32,13.74,1.96,0.98,0,0.98,0,0,0.98,0,58.9,5.89,1.96,4.91,460.4,0,18.65,4.91,0,0,0.98,0,0,0,0,0,46.14,2.94,1.96,0.98,0.98,0
 84-94,0,4.25,1.06,3.19,1.06,1.06,113.64,0,0,20.18,16.99,4.25,0,0,0,1.06,1.06,3.19,0,31.86,5.31,0,1.06,227.28,0,7.43,2.12,0,0,3.19,0,0,2.12,0,0,24.43,3.19,3.19,1.06,1.06,1.06
 96-106,0,3.28,0,10.93,0,5.46,84.15,0,1.09,24.04,27.32,0,1.09,1.09,1.09,1.09,1.09,5.46,0,39.34,3.28,1.09,3.28,209.83,0,15.3,3.28,0,1.09,2.19,0,0,0,0,0,8.74,3.28,1.09,1.09,1.09,1.09
108-118,0,1.53,0.77,5.36,0,16.85,82.72,0,1.53,15.32,19.92,0,0,0,0.77,2.3,2.3,6.13,0,26.04,1.53,1.53,1.53,271.15,0,13.02,1.53,0,2.3,3.83,0,0,1.53,0,0,12.26,6.13,1.53,0,0,0
120,0,3.92,0,7.84,1.96,3.92,52.91,0,0,13.72,1.96,0,0,0,0,0,1.96,0,0,17.64,1.96,0,1.96,223.42,0,7.84,0,0,1.96,0,0,0,1.96,0,0,3.92,3.92,1.96,0,0,0
