stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,eye,fin_epithelia,glial,gut,mesenchyme,neural,notochord,olfactory,otic,paraxial_mesoderm,presomitic_mesoderm,spinal_cord,vasculature,xanthophores
  3-4,0,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,86.75,0,0,2.63,0,0,0,0,0,0,5.26,113.03,0,0,0,0,0,0,0
 10-12,0,0,0,6.29,0,0,0,0,0,0,9.44,185.67,0,0,9.44,0,0,0,0
 14-21,0,0,0,0,0,0,0,1,0,0,3,186,0,0,6,1,2,1,0
 24-34,0,0,0.82,0,0,0,0.82,0,0,0,7.39,14.78,0,0,0,0,0.82,0.82,0
 36-46,0,0,0,0,0,0,0,0,0,0,14.5,4.83,0,0,0,0,1.61,0,0
 48-58,0,0,0,0,0,0,0,0,0,0.57,7.46,0,0,0,0,0,1.15,0.57,0.57
 60-70,0,0,0,0,0,2.94,0,0.98,0,0,17.67,0,0,0,0,0,1.96,0,0
 72-82,0,0,0.98,0,0,0.98,0,0.98,0,2.94,17.67,0,0,0.98,0,0,0.98,1.96,0
 84-94,0,0,0,0,0,1.06,0,0,0,0,11.68,0,0,1.06,0,0,0,1.06,0
 96-106,0,0,0,0,0,1.09,0,1.09,0,0,5.46,0,1.09,1.09,0,0,0,0,0
108-118,0,0,0,0.77,0.77,0.77,0,0,0.77,0,10.72,0,0,1.53,0,0,0,0,0
120,0,0,0,0,0,0,0,1.96,0,0,5.88,0,0,3.92,0,0,0,0,0
