stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_mesenchyme,glial,hatching_gland,ionocyte,mesenchyme,muscle,neural,olfactory,periderm,presomitic_mesoderm,pronephros,slow_muscle,spinal_cord
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0
 10-12,0,3.15,0,0,3.15,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,1
 24-34,0,0,0,0,0.82,0,0,0,0,0,0,0,8.21,0,0,0,0,0.82,0
 36-46,0,0,0,0.81,0,0.81,0,0.81,0,0,0,0,6.45,0.81,0,0,0,0,3.22
 48-58,0,0,0.57,0,1.72,0,0.57,0,0,0,0.57,0,5.74,0,0,0,0.57,0.57,1.72
 60-70,0,0,0,0,5.89,0,0,0.98,0,0,0.98,0,3.93,0,0,0,0,0,0
 72-82,0,0,0,0,0.98,0,0,0,0,0,0.98,0,7.85,0,0,0,0,0,0.98
 84-94,0,0,0,0,2.12,0,0,0,0,0,0,0,0,0,1.06,0,0,0,0
 96-106,0,0,0,0,1.09,0,0,0,0,0,1.09,0,2.19,0,0,0,0,0,0
108-118,0,0,0,0,0,0,0,0,0,0.77,0.77,0,1.53,0,0,0,0,0,0
120,0,0,0,1.96,0,0,0,0,0,0,0,1.96,0,0,0,0,0,0,0
