stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.88,3.15,0,0,3.15,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,2,0,0,0,0,0,0,17,4,0,0,0,0,0
 24-34,3.28,0.82,0,0,0,0.82,0,0,0,0.82,0,0,0,0.82,0,13.95,0,0.82,0,0,1.64,12.31,0,0,0.82,0,0,0,49.25,5.75,0,0,0,0,0
 36-46,3.22,0,0,0,0,0.81,0,0,0,0.81,0,0,0,0,0,1.61,0,1.61,0,0,0,16.11,0,0,0,0,0,0,17.72,4.03,0,0,0,0,0
 48-58,4.59,0,0,0,0,3.44,0,0,0,1.15,0,0,0,0,0,4.59,0,2.3,0,0,0,16.07,0,0.57,0,0,0,0,13.2,1.72,0,0,0,0,0
 60-70,5.89,0,0,0,0,11.78,0,0,0,0.98,2.94,0,0,0,0,7.85,0,0,0,0.98,0,7.85,0,0,0,0,0.98,0,14.72,1.96,0,0,0,0,0
 72-82,13.74,0,0,0,0.98,5.89,0,0,0,0,22.58,0,0,0,0,51.05,0,3.93,0,0,0,19.63,0,0,0.98,0,0,0.98,49.08,1.96,0,0,0,0,0
 84-94,4.25,0,1.06,1.06,6.37,4.25,0,0,0,1.06,33.99,0,0,0,1.06,156.12,0,2.12,0,0,0,11.68,1.06,0,0,0,0,0,100.89,1.06,0,0,0,0,0
 96-106,14.21,0,3.28,1.09,8.74,10.93,1.09,2.19,1.09,3.28,75.41,2.19,1.09,1.09,2.19,415.28,0,5.46,2.19,0,0,49.18,0,0,0,0,0,3.28,107.1,1.09,0,1.09,0,0,0
108-118,11.49,0,2.3,0.77,34.47,9.96,0,0,0,0.77,104.94,0,0.77,0,1.53,851.75,0.77,2.3,0.77,0.77,0,42.89,0,0.77,0.77,0.77,0,0.77,111.83,0.77,0,0,0.77,0,0.77
120,7.84,0,0,0,19.6,0,0,0,0,3.92,119.55,0,1.96,0,0,448.79,0,5.88,0,0,0,31.36,0,0,0,0,0,1.96,72.51,0,1.96,0,1.96,1.96,0
