stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.89,0,0,0,10.51,0,0,0,0,0,0,0,0,0,0
 10-12,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.18,3.15,0,0,18.88,0,0,0,0,0,0,0,0,0,0
 14-21,0,1,3,0,2,0,0,2,0,0,0,0,0,0,0,0,0,1,50,0,3,0,0,0,0,0,5,22,0,0,0,0,0
 24-34,0,0,1.64,0,7.39,0,0,1.64,0,0,0,0,0,0,0.82,0,0,2.46,219.17,0,3.28,0,0,0,0,0,0,39.4,0,0,0,0,0
 36-46,0,0,1.61,0,49.15,0,0,1.61,0,0,0,0,0,0,3.22,0,0.81,2.42,646.15,0,4.03,0.81,0,0,0,0,0,95.87,0,0,0,0,0
 48-58,0,0,2.87,0,158.94,0,0.57,9.75,0,0,0,0.57,0,0,7.46,0,0,2.87,907.19,0.57,3.44,1.72,0,0.57,0,0.57,0,133.7,0,0,0,0,1.15
 60-70,0,0,2.94,0.98,296.42,0,0,14.72,0.98,0,0,1.96,0,0,3.93,0,0.98,0.98,1125.81,0,0.98,0.98,0,0.98,0,0,0,131.52,0,0,1.96,0,0.98
 72-82,0,0,4.91,1.96,358.31,0.98,2.94,27.49,0.98,0,0,0.98,0.98,0,26.5,0.98,0,0,975.77,0,1.96,1.96,0,0,1.96,0,0,69.7,0,0,1.96,0,0
 84-94,0,0,8.5,0,225.15,0,0,12.74,0,1.06,1.06,1.06,2.12,1.06,14.87,0,1.06,1.06,486.41,0,1.06,1.06,0,4.25,0,0,0,54.16,1.06,2.12,2.12,0,0
 96-106,0,0,1.09,2.19,178.13,1.09,0,17.49,0,0,2.19,1.09,1.09,0,15.3,0,1.09,2.19,369.38,0,0,3.28,0,6.56,0,0,0,12.02,1.09,0,0,0,0
108-118,0,0,5.36,0.77,127.92,0.77,0,9.96,1.53,0,0,0,0,0.77,8.43,0,0.77,0,365.36,0,2.3,0.77,0,0.77,0.77,0,0,11.49,0,0.77,0.77,0,1.53
120,0,0,5.88,0,123.47,1.96,0,9.8,0,0,1.96,0,0,0,9.8,0,1.96,3.92,403.72,0,1.96,0,0,0,0,0,0,7.84,0,0,0,1.96,0
