stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,glial,gut,hatching_gland,immune,ionocyte,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
 14-21,0,0,7,0,0,0,0,0,0,2,0,1,0,0,0,1,0,0,0,6,1,0,0,6,0,0,0,1,3,0,0,0,0
 24-34,0,0,4.93,0.82,2.46,0,0,0,0,0.82,0,4.93,0,0,0,3.28,0,0,0,13.13,0.82,0.82,0,6.57,0,0.82,0,0,5.75,0,0,1.64,0
 36-46,0,0,0,0,3.22,0,0.81,0,0,0.81,0.81,1.61,0,0,0,1.61,0.81,0,1.61,23.36,0,0,0,8.06,0.81,0,0,0,6.45,0,0,0.81,0
 48-58,0,0,1.15,0,2.3,0.57,0,0.57,0.57,0.57,0.57,0.57,0.57,0,2.3,1.15,0,0,0,36.72,0,0,0,5.74,0,0,0,0,4.59,0,0,0,0
 60-70,0,0,0,0,11.78,0,0,2.94,0,0,0,2.94,0,0,0.98,3.93,0,0,0,76.56,0,0,0,4.91,0,0,0.98,0,8.83,1.96,0,0.98,0.98
 72-82,0,0,1.96,8.83,22.58,0,0,5.89,1.96,0,0.98,0.98,0.98,0,0.98,5.89,0,0.98,0,95.22,0,0,0,7.85,0,0,0,0,7.85,3.93,0,0.98,0
 84-94,0,1.06,2.12,2.12,11.68,0,0,2.12,0,0,3.19,7.43,0,1.06,5.31,3.19,0,0,0,43.54,0,0,0,21.24,0,1.06,0,0,5.31,4.25,1.06,2.12,1.06
 96-106,1.09,0,7.65,2.19,7.65,0,0,3.28,1.09,0,4.37,5.46,0,0,3.28,3.28,1.09,0,0,49.18,0,2.19,1.09,29.51,0,0,0,0,0,1.09,0,1.09,0
108-118,0.77,0,5.36,0.77,6.13,0,0.77,3.83,2.3,0,3.83,13.79,0,0,6.89,3.06,0,0,0,32.94,0.77,0.77,0.77,17.62,0,0,0,0,0.77,9.19,0,0.77,0
120,0,0,11.76,5.88,7.84,0,0,1.96,0,0,3.92,3.92,0,0,0,1.96,1.96,0,1.96,33.32,0,0,0,13.72,0,0,0,0,1.96,3.92,0,0,0
