stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,5.26,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,10,0,0,0,2,1,0,0,2,1,0,0
 24-34,0,0,0,0,0.82,0,0,0.82,0,0,0,0,0,0.82,0,0,0,0,0.82,0,0.82,21.34,0,0.82,0,2.46,0,0,0.82,5.75,0,0,0
 36-46,0,0,0,0,0,0,0,3.22,0,0,0,0,0,0,0,0,0.81,0,1.61,0,0,12.89,0,0,0,0,0,0.81,0,4.83,0,0,1.61
 48-58,0,0,0,0,0.57,0,0,3.44,0.57,0,0,0,0,0.57,0,0,0.57,0,0.57,0,0.57,14.92,0,0,0,1.15,0,0,0,0.57,0,0,0
 60-70,0,0,0,0,0,0,0,13.74,0,1.96,0.98,0,0,0.98,0,0,0,0,4.91,0,0,19.63,0,0,0,0,0,0,0,1.96,0,0,0.98
 72-82,0,0,0,0,0.98,0,0,7.85,0,0,3.93,0,0,0.98,0,0,0,0.98,3.93,0,0.98,12.76,0,0,0,0.98,0,0,0,1.96,0.98,0,0
 84-94,0,0,0,0,0,1.06,0,6.37,0,0,1.06,0,1.06,0,0,0,0,0,4.25,0,0,8.5,0,0,0,3.19,0,0,0,1.06,2.12,0,0
 96-106,0,0,1.09,0,0,0,0,3.28,2.19,0,3.28,1.09,0,0,1.09,0,1.09,0,5.46,0,0,5.46,0,0,0,0,0,0,0,0,1.09,1.09,0
108-118,0,0,0,0,2.3,0,0.77,3.06,1.53,0.77,6.13,0,0,0,0,1.53,0.77,0,2.3,0.77,0,4.6,0.77,1.53,0,0.77,0,0,0,0,0,0,0
120,0,0,0,0,5.88,3.92,0,3.92,1.96,0,3.92,0,0,3.92,1.96,0,0,1.96,3.92,0,0,11.76,0,3.92,0,1.96,0,0,0,0,0,0,0
