stage,axial,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 10-12,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,25.18,0,0,0,0,0,0,0,0
 14-21,0,2,1,312,0,0,0,0,0,0,0,0,7,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,2,1,0,0,0,137,0,0
 24-34,0,1.64,2.46,40.22,0,1.64,0,0,0,0,0,0,23.8,0,0.82,0,0.82,0,13.13,0,0.82,33.66,0,0.82,0,0,0.82,1.64,0,1.64,5.75,0,0,504.83,0,0
 36-46,0,0,0,3.22,0,0.81,0,0,0,0.81,0,0,16.11,0,0,0,0,0.81,9.67,0,0.81,15.31,0.81,0,0,0,0.81,0,0,0,3.22,0,0,311.79,0,0
 48-58,0,0,0,3.44,0,3.44,0,0.57,0.57,0.57,0,0,33.28,0,0,0,0,0,17.21,0,0.57,13.2,0,0,0.57,0,0.57,0,0,0,2.87,0,0,236.41,0,1.72
 60-70,0,0,0.98,1.96,0,2.94,0,0,0,0.98,0.98,0,34.35,0.98,0,0,0,0,21.59,0,1.96,16.69,0,0.98,0,3.93,1.96,0,0,0,3.93,0,0,210.05,0,0
 72-82,0,0,0.98,0.98,0,16.69,0,0,0,0,3.93,0.98,49.08,0,0.98,0,0.98,0,41.23,0,0,17.67,0,0,0.98,2.94,1.96,0,0,0,0,0,1.96,401.5,0,0
 84-94,0,0,1.06,3.19,0,11.68,0,0,1.06,1.06,8.5,0,32.92,1.06,0,0,0,0,41.42,0,0,7.43,0,0,1.06,5.31,1.06,0,0,0,1.06,0,0,391.89,0,0
 96-106,0,0,7.65,4.37,0,10.93,1.09,0,1.09,2.19,12.02,0,64.48,2.19,1.09,1.09,2.19,0,76.5,1.09,0,17.49,1.09,0,2.19,5.46,3.28,1.09,0,0,0,1.09,1.09,478.67,2.19,1.09
108-118,0.77,0,1.53,1.53,0.77,9.19,0,2.3,0,5.36,9.96,0,29.87,0.77,0,0,0.77,0,56.68,0,0,15.32,0,0,0,3.83,1.53,2.3,0,0,0,0,0,382.22,0.77,0
120,0,0,5.88,1.96,0,1.96,0,0,0,1.96,7.84,1.96,31.36,1.96,0,0,0,0,43.12,0,0,11.76,1.96,1.96,0,0,3.92,0,0,0,0,0,0,407.64,0,0
