stage,eye,glial,gut,iridophores,mesenchyme,mural_cell,muscle,neural,presomitic_mesoderm,spinal_cord,xanthophores
  7-9,0,0,0,0,0,0,0,2.63,0,0,0
 14-21,0,0,0,0,0,0,0,4,1,4,0
 24-34,0,0,0,0,0,0,0,2.46,0,0.82,0
 36-46,1.61,0.81,0.81,0,0.81,0,0,1.61,0,0,0
 48-58,1.72,0.57,0,0,1.72,0,0,3.44,0,0.57,0.57
 60-70,2.94,5.89,0,0,1.96,0.98,0,3.93,0,0,0.98
 72-82,0.98,7.85,0,0,1.96,0,0.98,0.98,0,0,0
 84-94,0,3.19,0,1.06,4.25,0,0,3.19,0,0,1.06
 96-106,1.09,5.46,0,0,0,0,0,1.09,0,0,0
108-118,0,11.49,0,0,0,0,0,0,0,0,0
120,0,3.92,0,0,0,0,0,0,0,0,0
