stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,iridophores,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,olfactory,otic,periderm,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 10-12,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0
 14-21,1,25,2,0,0,0,0,0,13,0,0,0,0,0,1,0,0,0,12,1,0,0,0,9,0,0,0,0
 24-34,0,9.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86.19,1.64,0,0.82,0.82,39.4,0,0,0,0
 36-46,0,0.81,0,0,4.83,0,0,0,0.81,0,0,0,0,0,0,0,0,0.81,232.84,6.45,0,0,0,53.17,0,0,0,0
 48-58,0,0,1.15,0,31.56,0,0,2.87,0,0,0,0,0,1.15,2.87,0,0,0.57,257.64,2.87,0,0,0,57.95,0,0.57,0,1.72
 60-70,0.98,0,1.96,0,77.54,0,0,3.93,0,0,0,0,0,0,1.96,0,0,0,315.07,1.96,0,0,0,52.02,0,0,0,0
 72-82,0.98,0,0.98,0,92.28,0,0,7.85,0,0,0,0,0,0,4.91,0,0,0,304.32,2.94,0.98,0,0,27.49,0,0,0.98,0
 84-94,0,0,3.19,1.06,62.66,0,1.06,4.25,1.06,0,1.06,0,0,0,2.12,0,1.06,0,159.31,2.12,0,0,0,10.62,0,0,0,0
 96-106,0,0,3.28,0,41.53,0,0,13.11,2.19,1.09,0,1.09,1.09,0,3.28,0,0,0,100.54,1.09,2.19,1.09,0,6.56,1.09,0,0,0
108-118,0,0,0,0.77,29.11,0.77,0,12.26,0,0,1.53,1.53,0,0,2.3,0,0,0,115.66,1.53,0,0,0,2.3,0,0,0,0
120,0,0,1.96,1.96,37.24,0,0,5.88,0,0,0,1.96,0,0,1.96,1.96,0,0,135.23,1.96,0,0,0,0,0,1.96,0,0
