stage,exocrine_pancreas,eye,fast_muscle,immune,iridophores,lateral_line,mesenchyme,muscle,neural,olfactory,paraxial_mesoderm,periderm
  7-9,0,0,0,0,0,0,0,0,2.63,0,2.63,0
 14-21,0,0,0,0,0,0,0,1,0,0,0,0
 24-34,0,0,0,0,0,0,0.82,0,1.64,2.46,0,0
 36-46,0,0,0,0,0,0,0,0,0,4.03,0,0
 48-58,0,0,0,0,0,0,0,0,0.57,9.75,0,0
 60-70,0,0.98,0,0,0,0,1.96,0,3.93,10.8,0,0
 72-82,0,0.98,0,0,0,0,0,0,0.98,19.63,0,0
 84-94,0,1.06,0,0,0,0,0,0,0,13.81,0,2.12
 96-106,0,1.09,0,0,0,1.09,1.09,0,1.09,36.06,0,1.09
108-118,0.77,0.77,0,0,0,0,0.77,0,0,19.15,0,0
120,0,0,1.96,1.96,1.96,0,0,0,3.92,23.52,0,0
