stage,blastomeres,endocrine_pancreas,epidermis,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vasculature,visceral_smooth_muscle,xanthophores
  3-4,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,6,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,4,0,0,0,4,2,1,3,4,0,0,0
 24-34,0,0,3.28,4.93,0,0.82,0.82,0,0,0,0,0,0,0,0,0,2.46,0,0.82,9.03,0,0,0,0,0,0,0.82,3.28,0.82,0,0
 36-46,0,0,0,0.81,0,0,0,0.81,0,0,0,0,0,0,0,0,6.45,0,0.81,3.22,0,0,0,0,0.81,0,0,0,0,0,0
 48-58,0,0,0,1.72,0,0,0.57,1.15,0,0,0,0,0,0,0,0.57,7.46,0,0.57,5.74,1.15,0,0,0,0.57,0,0,0.57,0,0,0
 60-70,0,0,0,3.93,0.98,0,0,0,0,0,0,0,0.98,0,0,0,3.93,0.98,0,2.94,0,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,3.93,0.98,0.98,0,0.98,2.94,0,0,0.98,0,0,0,0,0,17.67,0,1.96,1.96,0,0,0,0,0.98,0,0,0,0,0,0
 84-94,0,0,0,2.12,0,0,0,0,2.12,1.06,0,1.06,0,0,0,2.12,7.43,1.06,1.06,0,0,0,0,0,0,0,0,1.06,0,0,0
 96-106,0,0,3.28,3.28,0,1.09,0,2.19,0,0,0,0,0,0,1.09,0,18.58,1.09,3.28,3.28,0,1.09,0,0,0,0,0,0,1.09,1.09,1.09
108-118,0,1.53,5.36,0,0,0.77,0.77,0.77,0.77,0,0,0,2.3,0.77,0.77,1.53,16.85,0,3.06,3.06,0,0,0,0,0,0,0,0.77,0,3.83,0.77
120,0,0,3.92,0,0,3.92,3.92,0,0,0,0,0,0,0,0,0,11.76,0,0,9.8,0,0,0,0,1.96,0,0,0,0,0,0
