stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,197.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,263.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0
  7-9,5.26,0,7.89,0,0,0,7.89,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,76.23,2.63,0,0,26.29,0,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,6.29,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,40.91,0,0,0,12.59,0,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,3,23,0,0,7,0,0,4,0,0,0,0,1,0,0,0,0,13,0,0,7,70,4,2,2,3,0,2,13,2,0,22,26,0,0,0,0,0
 24-34,0,0,0,4.93,0,0,4.1,0.82,0,0.82,0,0,0,0,0.82,0,0.82,0,0.82,9.85,0,0,3.28,58.28,0,2.46,0.82,0,0,4.1,0,0.82,0,4.1,13.95,0,0,0.82,0,0
 36-46,0,0,0,4.03,0,0,12.09,0,0,1.61,0.81,0,0,0.81,1.61,0,0,0,0,6.45,0,0.81,3.22,51.56,0.81,2.42,0.81,0,0,2.42,0,0,1.61,0,9.67,0,0,1.61,0,0.81
 48-58,0,0,0,2.87,0,0,10.33,1.15,0,1.72,0,0,0,0,1.15,0,0,0.57,0.57,9.75,0.57,0,1.15,22.38,0,1.72,2.3,0,0.57,2.87,0,0.57,0,0,4.02,0,0,0.57,0,0
 60-70,0,0.98,0,5.89,0,0.98,15.7,0,0,1.96,0,0,0,0,0,0,1.96,0,0,8.83,0.98,0,0.98,25.52,0,0,0.98,0,0,8.83,0,0,0,0,1.96,0,0.98,0,0,0
 72-82,0,0,0.98,4.91,2.94,0,13.74,0,0.98,3.93,0,0,0,0.98,0.98,0,0.98,0,0,12.76,0,0,0.98,21.6,0.98,5.89,3.93,0,0,5.89,0,0,0,0,2.94,0,0,0,0.98,0
 84-94,0,1.06,0,9.56,2.12,0,6.37,2.12,0,2.12,3.19,0,0,0,0,1.06,0,1.06,0,9.56,0,1.06,1.06,13.81,2.12,2.12,2.12,0,0,18.05,0,1.06,0,0,2.12,0,1.06,1.06,0,0
 96-106,0,0,0,7.65,5.46,0,8.74,1.09,0,2.19,4.37,0,0,1.09,1.09,0,1.09,0,0,2.19,2.19,0,0,9.84,0,1.09,6.56,0,0,12.02,0,1.09,0,0,0,1.09,0,0,1.09,0
108-118,0,0,0,8.43,3.83,0,2.3,0.77,0.77,5.36,0.77,0,0.77,0,1.53,0,2.3,0,0,0.77,0,0,2.3,13.79,0.77,3.06,3.06,0,0,7.66,0,0.77,0,0,0,0.77,0,0.77,0,0.77
120,0,1.96,0,9.8,1.96,0,7.84,0,0,1.96,1.96,0,0,0,1.96,0,0,3.92,0,1.96,0,0,1.96,1.96,0,1.96,0,0,0,21.56,0,1.96,0,0,0,1.96,0,1.96,1.96,0
