stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,79.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0
  5-6,36.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,7.89,0,0,0,0,0,13.14,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,162.98,2.63,0,0,44.69,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,12.59,0,3.15,0,3.15,0,25.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,506.66,9.44,0,0,94.41,0,0,0,0,0,3.15,0,0,0,0,0
 14-21,0,0,2,31,4,0,15,0,1,0,13,1,0,7,0,0,0,0,0,1,5,0,0,4,562,1,5,8,4,0,4,4,0,17,178,0,0,1,0,0
 24-34,0,0.82,4.93,18.06,0,0,87.83,0.82,2.46,0,18.06,1.64,0,2.46,0,0.82,0,3.28,1.64,0,20.52,0,0,5.75,763.4,0.82,5.75,8.21,0,0,1.64,0,1.64,25.45,181.41,0,0,2.46,0,0
 36-46,0,0,0.81,10.47,0,0,236.06,0.81,0.81,0,39.48,0.81,0,1.61,0,0,0,4.03,1.61,0.81,18.53,0,0,2.42,638.9,0.81,2.42,6.45,0,0,0,0,1.61,0,136.16,0,0,3.22,0,0
 48-58,0,0,0,7.46,1.15,0,346,0.57,0.57,0.57,47.05,1.15,0,1.15,0,0,0,3.44,0,0,26.97,0,0,1.15,435.52,0,1.72,4.02,0,0,0.57,0,0,0,89.51,0,0.57,0,0,1.15
 60-70,0,0.98,0,3.93,0,0,483.89,1.96,0.98,0.98,56.93,0.98,0,0,0,0,0,4.91,5.89,0,21.59,0,4.91,0.98,326.85,0,0.98,9.82,0,0.98,0.98,0,1.96,0,51.04,0,1.96,0,0.98,0
 72-82,0,2.94,0,7.85,0.98,1.96,193.39,3.93,1.96,1.96,53.99,3.93,0,1.96,0,1.96,0,1.96,2.94,0,35.34,0,2.94,4.91,232.65,0,1.96,11.78,0,0,0,0,0.98,0,11.78,0,0.98,0.98,0.98,0
 84-94,0,2.12,1.06,9.56,0,3.19,138.06,0,1.06,0,35.05,6.37,0,0,1.06,0,1.06,8.5,4.25,0,27.61,0,4.25,3.19,129.57,0,2.12,8.5,0,0,6.37,0,1.06,0,4.25,0,2.12,3.19,2.12,1.06
 96-106,0,1.09,0,16.39,2.19,1.09,92.89,0,1.09,0,42.62,1.09,0,1.09,1.09,0,0,6.56,3.28,0,27.32,0,3.28,0,113.66,0,5.46,6.56,0,0,3.28,0,3.28,0,6.56,0,0,2.19,1.09,0
108-118,0,0.77,0,9.19,0,7.66,101.87,3.06,2.3,0,28.34,8.43,0,0.77,4.6,0.77,0.77,3.83,11.49,0,10.72,0.77,1.53,3.06,127.15,0.77,3.06,11.49,0,0,3.06,0,1.53,0,3.06,0.77,0,0,0.77,0.77
120,0,0,0,0,1.96,0,90.15,1.96,0,0,39.2,1.96,0,1.96,3.92,0,0,9.8,3.92,0,13.72,0,1.96,0,115.63,0,3.92,11.76,0,0,0,0,0,0,3.92,0,3.92,1.96,0,0
