stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,79.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,5.26,0,0,0,0,0,0,0,0,0
 14-21,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,4,0,0,0,0,0
 24-34,0,0,1.64,0.82,0,9.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122.31,0,2.46,0,0,0,0.82,0,20.52,0,0,0.82,0,0
 36-46,0,0,0,0,0,30.62,0,0,0,0,0,0,0,0,0,0,0,0,1.61,0,0,0,323.07,0,4.03,0,0,0,0,0,38.67,0,0,0,0,0
 48-58,0,0,0,1.15,0,323.63,0,0,0,4.02,0,0,0,0,0,0,0,1.15,3.44,0,0.57,0.57,396.5,0,0,0,0,0,0,0,40.74,0,0,0,0,0
 60-70,0,0,0,0,0.98,1683.31,0,0,0.98,4.91,0,0,0,0,0,0,0,0,10.8,0.98,0,1.96,771.48,0,1.96,0,0,0,0,0,32.39,0,0,0.98,0,1.96
 72-82,0,0,0.98,15.71,7.85,2909.65,0.98,0.98,3.93,74.61,0.98,0,5.89,0.98,0,0,0.98,0,50.06,0,2.94,3.93,1005.22,0,0.98,1.96,0,0.98,4.91,0,44.17,0,0.98,4.91,1.96,4.91
 84-94,1.06,0,0,16.99,2.12,1907.42,0,2.12,3.19,61.6,1.06,2.12,1.06,2.12,1.06,1.06,0,0,24.43,0,1.06,2.12,480.04,0,0,2.12,0,0,5.31,1.06,31.86,0,2.12,4.25,1.06,1.06
 96-106,0,0,0,19.67,4.37,1747.46,0,2.19,2.19,43.71,0,1.09,8.74,2.19,2.19,1.09,0,1.09,26.23,0,0,3.28,389.05,1.09,0,1.09,0,2.19,5.46,0,9.84,0,5.46,3.28,3.28,2.19
108-118,0,0,0,7.66,4.6,1035.58,0.77,0,0.77,22.21,0.77,0,0.77,0,0,0,1.53,0,16.85,0,0.77,3.83,433.54,0,1.53,2.3,0,0,5.36,0,9.96,0.77,0,3.06,1.53,0.77
120,0,0,0,15.68,5.88,589.9,1.96,0,1.96,27.44,1.96,0,3.92,0,0,0,0,1.96,17.64,0,0,0,315.53,0,1.96,0,0,0,1.96,0,1.96,0,0,0,0,1.96
