stage,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,2,28,6,0,19,0,0,0,5,1,1,0,0,1,0,0,0,15,0,13,264,3,0,2,11,0,1,35,1,1,23,68,0,0,0,0,0
 24-34,0,1.64,0,0,27.91,0,0,0,3.28,0,0,0.82,0,0,0,0.82,0.82,17.24,0,6.57,257.75,0,0.82,0.82,0,0,1.64,0.82,0,0,1.64,48.43,0,0,2.46,0,0.82
 36-46,0,1.61,0,0,49.15,0,0,0.81,8.86,0,0,0,0,0,0,0,0,25.78,0,1.61,153.08,0,0.81,0,0,0,1.61,0,0.81,0,0,39.48,0,0,1.61,0,0
 48-58,0,1.15,0,0,61.97,0,0,0.57,12.62,0.57,0,0.57,0,0,0,0.57,0.57,21.23,0,5.16,72.3,0,0.57,0,0,0,1.15,0,0,0,0,16.07,0,0,1.72,0,0
 60-70,0,0.98,0,0,31.41,0,0.98,0,11.78,1.96,0,0,0,0,0,0,0,15.7,0,3.93,36.32,0,0,0,0,0,0,0,0,0.98,0,7.85,0,0,1.96,0,0
 72-82,0,3.93,0,0,24.54,0,0,2.94,3.93,0,0,0,0,0,0,0,0,20.61,0,2.94,31.41,0,0.98,0,0,0,0.98,0,0,0,0,0,0.98,0,1.96,1.96,0
 84-94,0,3.19,0,0,10.62,0,0,0,1.06,0,0,1.06,0,1.06,0,0,0,6.37,1.06,2.12,20.18,0,0,1.06,0,0,0,0,1.06,0,0,5.31,0,0,2.12,1.06,0
 96-106,0,0,0,1.09,10.93,0,0,1.09,9.84,0,0,2.19,1.09,0,0,0,0,8.74,1.09,1.09,22.95,0,0,0,0,0,3.28,0,0,0,0,0,1.09,0,2.19,1.09,1.09
108-118,0,0,0,0,5.36,0,0,0,6.89,0,0,0,0,0,1.53,0,0,6.13,0,0.77,22.98,0.77,0,0,0,1.53,0,0,0,0,0,0.77,0,0.77,1.53,1.53,0
120,0,0,0,0,1.96,1.96,0,1.96,3.92,0,0,0,0,0,0,0,0,1.96,0,0,17.64,0,0,0,0,0,0,0,0,0,0,0,0,0,1.96,1.96,0
