stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.51,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,9.44,0,0,0,6.29,0,0,0,0,0,15.73,0,0,0,0,0,0,0,0,0,0,34.62,0,0,0,37.76,0,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,1,0,12,2,0,0,0,0,0,2,0,4,0,0,0,0,0,0,1,0,0,3,108,0,0,0,0,0,3,2,0,17,11,25,0,0,0,0,0
 24-34,0,0,0.82,0,4.1,0,0,3.28,0.82,4.1,0,0.82,0,0,0.82,0,0,0,0,0,7.39,0,0.82,3.28,208.5,0,2.46,3.28,0,0,0.82,0,4.1,6.57,3.28,69.77,0,0,0.82,0,0
 36-46,0,0,0,0,0,0,0,10.47,0,4.03,0,2.42,0,0,2.42,0,0,0,0,0.81,7.25,0,0,2.42,388.33,0,0,0,0,0.81,0.81,0,5.64,4.03,0.81,82.98,0,0,0.81,0,0
 48-58,0.57,0,0,0,0.57,0,0,29.84,1.15,0.57,1.15,5.74,0,0,1.15,0,0,0,0.57,1.72,9.18,0,0,1.15,367.81,0.57,1.15,5.74,0,0,1.72,0,3.44,5.74,0,56.81,0,0,0,0,0
 60-70,0,0,0,0,0.98,0,0,84.41,0.98,2.94,0,6.87,0,0,0,0,0,0,0,0,16.69,0,0,1.96,496.65,0.98,0,4.91,0,0,0.98,0,4.91,0.98,0,34.35,0,0.98,0.98,0.98,0
 72-82,0,0,1.96,0,4.91,0.98,0.98,130.56,0.98,0,0.98,18.65,0,0,0,0,0.98,0.98,0,0,24.54,0.98,0.98,0.98,422.11,0.98,2.94,9.82,0,0,2.94,0,6.87,0.98,0,21.6,0,0,0.98,0.98,0
 84-94,0,0,0,0,3.19,1.06,1.06,96.65,0,0,0,9.56,1.06,0,0,0,0,0,0,0,15.93,0,0,1.06,221.97,1.06,0,10.62,0,0,0,0,14.87,5.31,0,9.56,0,1.06,2.12,0,0
 96-106,0,0,1.09,0,2.19,0,4.37,85.24,1.09,0,0,9.84,0,0,0,1.09,0,0,0,0,14.21,0,1.09,5.46,179.23,0,0,15.3,0,0,4.37,0,2.19,2.19,0,7.65,1.09,1.09,3.28,0,1.09
108-118,0,0,0,0,4.6,1.53,19.15,64.34,0,2.3,0,4.6,1.53,0,0,0,0,0,0,0.77,9.96,0.77,0,1.53,192.26,0.77,0.77,12.26,0,0,2.3,0,7.66,6.89,0,3.83,0,0,3.06,0,0
120,0,0,1.96,0,3.92,0,1.96,72.51,0,1.96,0,5.88,1.96,0,0,0,0,0,0,0,11.76,0,0,3.92,237.13,0,0,5.88,0,0,1.96,0,1.96,5.88,0,5.88,0,0,1.96,0,0
