stage,axial,blastomeres,endoderm,epidermis,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,lateral_line,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle
  3-4,13.18,289.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,275.83,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,12.26,0,0,0,6.13,0,0,0,0,0,0,0,0
  7-9,0,0,5.26,0,2.63,0,0,0,0,2.63,0,0,0,0,0,0,0,60.46,0,0,0,15.77,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,3.15,0,0,0,0,3.15,0,0,0,0,0,0,0,34.62,0,0,0,6.29,0,0,0,0,0,0,0,0
 14-21,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,19,1,0,1,1,0,0,2,1,5,0,0,0
 24-34,0,0,0,1.64,4.93,0,0,0,0,0,0,0,0.82,0.82,0.82,0.82,1.64,18.06,0,1.64,0,0,1.64,0,0,0,4.93,0,0,0
 36-46,0,0,0,0.81,2.42,0,0,4.03,0.81,0,0.81,0,0,0,4.03,0,0.81,48.34,0,1.61,1.61,0,2.42,0,0,0,7.25,0,0,0
 48-58,0,0,0,1.72,8.03,0,0.57,5.16,0,0,0,0.57,0,1.15,2.87,0,0.57,24.1,0,0.57,0,0,1.15,0,0,0,2.3,0,0,0
 60-70,0,0,0,0,2.94,0,0,7.85,1.96,0,0,0.98,0,0,3.93,0,0,26.5,0,0,1.96,0,0.98,0,0,0,0.98,0.98,0,0
 72-82,0,0,0,3.93,8.83,0,0,5.89,0.98,0,1.96,0,0,0,6.87,0,2.94,47.12,0,0,3.93,0,0.98,0,0,0,1.96,1.96,0,0
 84-94,0,0,0,6.37,5.31,0,0,4.25,4.25,0,3.19,0,0,0,4.25,0,1.06,32.92,0,0,1.06,0,9.56,0,0,0,0,5.31,1.06,0
 96-106,0,0,0,8.74,3.28,1.09,1.09,7.65,0,0,8.74,0,1.09,0,5.46,0,1.09,17.49,0,1.09,0,0,14.21,0,0,0,1.09,1.09,1.09,0
108-118,0,0,0,3.83,6.89,0,0,3.83,0.77,0,7.66,0,1.53,0,5.36,0.77,0.77,31.4,0,0,2.3,0,6.13,0.77,0,0,0,2.3,0,0.77
120,0,0,0,7.84,0,3.92,0,5.88,0,0,21.56,0,1.96,0,3.92,1.96,0,27.44,1.96,1.96,1.96,0,56.83,1.96,0,0,0,1.96,1.96,0
