stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,pronephros,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,0,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,5.26,0,0,0,0,0,5.26,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,23.66,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.88,0,0,0,3.15,0,0,3.15,6.29,0,0,0,0,0,0,0
 14-21,0,0,0,1,19,3,0,0,0,1,0,0,0,0,0,0,3,0,0,0,1,0,0,0,1,0,0,0,0,0,22,0,3,0,1,0,0,6,0,0
 24-34,0,0,0,0,7.39,0.82,0,1.64,0,13.13,0,0,0,0,6.57,0,1.64,0,0,0.82,0.82,0,0,0.82,7.39,35.3,0,0,0,0,31.19,0,0.82,0,1.64,0,0,14.78,0,0
 36-46,0,0,0,0,22.56,0,0,1.61,0,13.7,0,3.22,0.81,0.81,5.64,0,0.81,0,0,0,6.45,0,0,4.03,11.28,53.17,0,0,0,0,36.26,0,0.81,0.81,0.81,0,0,8.86,0,0
 48-58,0.57,0,0,0,16.07,0,0,9.18,0,11.48,0,0.57,0,0.57,5.74,0,0,0,0,0,12.62,0,0,4.02,17.79,41.89,0,4.02,0,0,33.85,0,0,0,1.15,0,0.57,6.89,0,0
 60-70,0,0,0,0,40.24,0.98,0,15.7,0,18.65,1.96,0.98,0.98,1.96,7.85,0,2.94,0.98,1.96,0,34.35,0,2.94,2.94,13.74,30.43,0,3.93,0,0.98,53.98,0,0,0,1.96,0.98,0.98,23.56,0,0
 72-82,0,0,0,0,61.84,0.98,0,17.67,0,14.72,0,6.87,7.85,0,15.71,0,0.98,0,0,1.96,79.51,0,11.78,6.87,23.56,30.43,0,2.94,0,1.96,79.51,0,2.94,0.98,1.96,0,8.83,29.45,0,1.96
 84-94,0,0,0,0,129.57,1.06,0,16.99,0,49.92,0,3.19,19.12,3.19,8.5,2.12,3.19,0,0,5.31,55.23,3.19,13.81,4.25,13.81,33.99,1.06,4.25,0,1.06,292.06,0,3.19,1.06,0,11.68,6.37,22.3,1.06,0
 96-106,0,0,1.09,0,150.81,0,1.09,14.21,1.09,44.81,0,2.19,26.23,0,14.21,1.09,2.19,0,0,1.09,66.66,5.46,15.3,5.46,48.09,22.95,0,5.46,0,4.37,301.63,0,2.19,0,2.19,18.58,7.65,25.14,5.46,0
108-118,0.77,0,0,0,233.62,0.77,3.06,9.19,1.53,68.94,2.3,3.83,32.94,0,8.43,2.3,5.36,0.77,0.77,6.89,62.81,2.3,13.79,9.19,21.45,18.38,0,4.6,0,2.3,242.81,0,2.3,0,0,25.28,11.49,23.74,0.77,0
120,0,0,0,0,254.77,0,0,13.72,3.92,60.75,3.92,9.8,29.4,0,11.76,3.92,0,0,3.92,5.88,56.83,1.96,11.76,1.96,43.12,23.52,0,5.88,0,1.96,160.7,0,0,0,1.96,9.8,21.56,25.48,1.96,0
