stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,glial,gut,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,pronephros,somites,spinal_cord,taste,vasculature,xanthophores
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,24.52,36.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,13.14,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.03,5.26,0,0,10.51,0,2.63,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.44,3.15,0,0,9.44,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,2,0,0,0,2,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.82,0,0,0,0,3.28,0,0,3.28,0,0,0,4.1,0.82,2.46,0,1.64,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.81,0,0,0,4.03,0,0,1.61,0,0.81,0,1.61,0,1.61,0,0.81,0
 48-58,0,0,0,0.57,0,0,0.57,0,0,0,0,0,0,0,0.57,0,0.57,0,0.57,0,5.16,0,0,0,0,1.15,0,0,0,1.15,0,0,0
 60-70,0,0,0,1.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.91,0,0,0.98,0,0.98,0,0.98,0,0.98,3.93,0,0.98
 72-82,0,0,0.98,5.89,0,0,1.96,0,0,0.98,1.96,0.98,0,0,0,0,3.93,0,0,0.98,9.82,0,0.98,0.98,0,1.96,0,0.98,0,0.98,29.45,0,0
 84-94,0,0,0,7.43,0,0,4.25,0,0,2.12,2.12,3.19,0,0,0,0,1.06,0,0,1.06,7.43,0,0,1.06,0,0,0,0,0,1.06,141.25,1.06,0
 96-106,0,0,1.09,8.74,1.09,0,3.28,1.09,0,3.28,3.28,2.19,1.09,0,0,1.09,0,0,0,1.09,8.74,0,1.09,1.09,0,0,0,1.09,0,0,201.08,0,0
108-118,0,0,0,2.3,0,0.77,4.6,0,0.77,5.36,2.3,2.3,0,0.77,0.77,0.77,3.06,0.77,0,0,6.89,0,0,0,0,0.77,0,2.3,0,0,212.94,0,0
120,0,0,0,5.88,1.96,0,0,0,0,3.92,3.92,3.92,0,1.96,1.96,0,0,0,0,0,11.76,0,1.96,0,0,1.96,0,1.96,0,0,70.55,0,0
