stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
  3-4,13.18,342.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0,0,0,0,0
  5-6,49.04,404.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,10.51,5.26,13.14,0,0,28.92,0,0,0,0,0,18.4,0,0,0,0,0,0,0,0,0,0,0,365.39,7.89,0,0,70.98,0,5.26,0,0,0,0,0,0,0,0,0
 10-12,0,15.73,6.29,0,0,40.91,0,0,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0,251.76,6.29,0,0,50.35,3.15,3.15,0,12.59,0,0,0,0,0,0,0
 14-21,0,0,8,33,5,18,0,0,0,5,3,0,0,0,1,0,0,0,0,19,0,0,17,240,1,1,5,3,2,0,12,5,0,9,73,0,0,1,0
 24-34,0,0,0,4.93,0,128.05,0,0,0.82,10.67,0,0,0,0,0.82,0,0,0,0,47.61,0,0,13.95,649.3,0,4.1,4.1,0,13.13,0,0,0.82,1.64,0.82,144.47,0,0,5.75,0.82
 36-46,0,0,0,5.64,0.81,249.76,0,1.61,0,22.56,0,0,0,1.61,0.81,0,0,0,0,37.87,0,0,10.47,519.66,0,4.03,3.22,0,11.28,0,0,1.61,0,0,99.1,0,0,3.22,0.81
 48-58,0,0,0,17.21,0.57,210.01,0.57,0.57,0,20.08,1.72,0,0.57,1.72,0.57,1.15,0.57,1.15,0.57,39.02,1.72,2.3,4.59,212.31,0.57,1.15,3.44,0,4.02,0,0,0,0,0,29.84,0,0,5.74,0.57
 60-70,0,0,0,18.65,0,193.36,0,0.98,0,12.76,4.91,0,0,1.96,0,2.94,0,3.93,0,74.6,0.98,1.96,2.94,115.82,1.96,0,2.94,0,2.94,0,0,1.96,0,0,6.87,0,0,6.87,0.98
 72-82,0,0,0,3.93,0.98,57.92,0,0,1.96,9.82,2.94,0,0.98,0.98,0.98,0,0.98,0.98,0,33.38,0,0,2.94,62.83,0,1.96,3.93,0,1.96,0,0,0,0,0,0.98,0.98,0,2.94,0
 84-94,0,0,0,6.37,0,91.34,0,0,1.06,3.19,7.43,0,0,5.31,3.19,2.12,1.06,0,0,38.23,0,1.06,9.56,63.72,0,1.06,4.25,0,3.19,0,0,0,0,0,4.25,1.06,1.06,8.5,0
 96-106,0,0,0,2.19,0,16.39,0,0,0,6.56,0,0,2.19,1.09,0,0,0,0,0,13.11,0,0,1.09,31.69,0,0,1.09,0,1.09,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,3.83,0,39.06,0,0,0,9.96,3.06,0,0,2.3,0,0.77,0.77,1.53,0,9.96,0,0.77,3.06,59.75,2.3,0.77,1.53,0,0,0,0,0,0,0,0.77,0.77,0,3.83,0
120,0,0,0,5.88,1.96,68.59,0,0,1.96,13.72,0,0,0,3.92,1.96,1.96,0,0,0,19.6,0,0,13.72,99.95,0,0,1.96,0,0,0,0,0,0,0,0,0,0,3.92,0
