stage,axial,blastomeres,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,immune,ionocyte,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,5.26,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,6.29,0,0,0,3.15,0,0,0,0,0,0
 14-21,0,0,4,2,0,0,0,0,1,1,0,0,0,0,0,5,0,2,7,0,1,2,0,0,4,0,0,7,5,0,0,1
 24-34,0,0,2.46,0,0,0,0,0,0,0,0,0,0,0,0,3.28,0,0.82,12.31,0,0,0,0,4.1,0,0,0,2.46,2.46,0,0.82,0
 36-46,0,0,0,0,0,0.81,0.81,0,0.81,0,0,0,0,0,0,1.61,0,0,13.7,0,0,0,0,4.83,0,0,0.81,0,0,0,0.81,0
 48-58,0,0,0,0,0,5.16,0,0.57,0.57,0.57,0,0,0,0,0.57,1.72,0,0.57,8.03,0,1.72,0,0,0.57,0,0,0,0,1.15,0,0.57,0
 60-70,0,0,0,0,0,7.85,0,0,0.98,0,0,0,0,0.98,0,0,0,0.98,20.61,0,0,0,0,1.96,0,0,0,0,1.96,0,0,0
 72-82,0,0,0,0.98,0,14.72,0,0,1.96,0.98,0,0,0,0,0,1.96,0,0,14.72,0,0.98,0,0,0,0,0,0,0,0,0,0.98,0.98
 84-94,0,0,1.06,0,0,11.68,0,1.06,0,1.06,1.06,1.06,2.12,0,0,4.25,0,0,6.37,0,1.06,0,0,10.62,0,0,0,0,1.06,0,0,0
 96-106,0,0,2.19,3.28,0,14.21,0,0,4.37,2.19,0,0,0,0,0,2.19,0,1.09,8.74,0,0,0,1.09,3.28,0,0,0,0,2.19,1.09,1.09,0
108-118,0,0,2.3,0.77,0.77,9.19,0,0.77,3.83,5.36,0,0,0,0.77,0,1.53,0,0.77,13.79,0.77,2.3,0,0,9.19,0,0,0,0,0,0,0.77,0
120,0,0,5.88,1.96,0,5.88,1.96,0,1.96,1.96,1.96,1.96,0,0,0,3.92,1.96,0,5.88,0,1.96,0,0,5.88,0,0,0,0,0,0,0,0
