stage,epidermis,eye,glial,gut,mesenchyme,muscle,neural,olfactory,paraxial_mesoderm,periderm,spinal_cord
  7-9,0,0,0,0,0,0,0,0,0,2.63,0
 10-12,0,3.15,0,0,0,0,6.29,0,3.15,0,0
 14-21,1,0,0,0,0,0,4,0,1,0,0
 24-34,0,0,0,0,0,0.82,4.1,0,0,1.64,1.64
 36-46,0,0.81,0,0,0.81,0,7.25,0,0,1.61,2.42
 48-58,0.57,1.72,0,0,0.57,0,10.9,0,0,0,1.72
 60-70,0,7.85,0,0,0,0,12.76,0,0,0,0
 72-82,0,2.94,0,0,0.98,0,3.93,0,0,0,0.98
 84-94,1.06,2.12,0,0,1.06,0,4.25,0,0,1.06,1.06
 96-106,0,2.19,0,0,0,0,2.19,1.09,0,0,0
108-118,0.77,0.77,0,0.77,0,0,1.53,0.77,0,0,0
120,1.96,1.96,1.96,0,0,0,3.92,0,0,0,0
