stage,blastomeres,epidermis,erythrocytes,eye,fin_epithelia,glial,ionocyte,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,spinal_cord,vasculature,xanthophores
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,1,0,0,0,5,0,0,2,0,0,1,1,0,0
 24-34,0,0.82,0,0.82,0.82,0.82,0.82,0,0,1.64,0,0,1.64,9.85,0,0,0,0,0,0,1.64,0,0
 36-46,0,0,0,1.61,0,1.61,0,0,0,0.81,0,0,0,5.64,0.81,0,0,0,0,0,3.22,0,0
 48-58,0,0,0,5.74,0,1.15,0,0.57,0,3.44,0.57,0,0,5.74,0,0,0,0,0,0,0,0,0.57
 60-70,0,1.96,0,2.94,0.98,0,0,0,0,4.91,0,0.98,0,4.91,0,0.98,0,0,0,0,0.98,0,0
 72-82,0,0,0,0.98,0,0.98,0,0,0,0.98,0,0,0.98,2.94,0,0,0,0,0.98,0,0,0,0
 84-94,0,0,0,2.12,0,2.12,0,0,0,4.25,0,0,0,1.06,0,0,0,0,0,0,1.06,0,0
 96-106,0,1.09,0,1.09,0,0,0,0,0,2.19,0,0,1.09,1.09,0,0,0,0,0,0,0,0,0
108-118,0,2.3,0,0,0,0.77,0.77,0,0,1.53,0,0,0,2.3,0,0,0,0,0,0,0,0.77,0
120,0,0,1.96,0,0,0,0,0,1.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0
