stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,2.63,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.51,2.63,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,3.15,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.59,0,0,0,28.32,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,0,22,0,0,0,0,0,0,0,0,1,0,0,1,0,5,0,0,0,3,38,0,0,2,0,2,0,2,0,0,2,0,0,12,0,1
 24-34,0,0,0.82,3.28,7.39,0,2.46,0,0.82,2.46,0.82,0.82,9.03,5.75,0,0,0,0.82,13.13,0.82,0,3.28,8.21,61.56,0,2.46,0,0,10.67,0,0,0,2.46,5.75,0,0,53.36,0,1.64
 36-46,0,0,0,3.22,0,0,1.61,0,4.83,18.53,3.22,0,0,3.22,0,0,0,0,20.95,0.81,0,16.11,20.95,41.09,0,8.86,0,0,14.5,0,0,0,0,10.47,0,0,22.56,0,3.22
 48-58,0,0,0,1.15,0,0,5.74,0,3.44,29.84,14.35,0,1.72,5.74,0,0,0.57,0,110.74,1.72,0,11.48,26.97,39.59,0,4.02,0,0.57,6.31,0,0,0,0,8.03,0,0,17.21,0,6.31
 60-70,0,0,0,2.94,0.98,0,17.67,0,4.91,41.22,28.46,0,1.96,8.83,0,0,0.98,0,314.09,2.94,0.98,9.82,60.85,17.67,0,7.85,0,0.98,4.91,0,0,0,0,2.94,0,0,16.69,0.98,2.94
 72-82,0,1.96,0,6.87,1.96,0,45.16,0.98,6.87,60.86,61.84,0.98,1.96,7.85,0.98,0.98,0,0,541.88,9.82,2.94,13.74,66.75,13.74,0,5.89,0,0.98,7.85,0,0,0,0,10.8,0,0,43.19,0.98,9.82
 84-94,0,0,0,4.25,0,0,31.86,0,10.62,44.61,35.05,2.12,3.19,20.18,0,1.06,4.25,1.06,444.99,3.19,2.12,6.37,31.86,19.12,0,5.31,0,1.06,28.68,1.06,0,0,0,5.31,0,0,20.18,1.06,0
 96-106,0,0,0,6.56,1.09,0,24.04,0,3.28,24.04,33.88,5.46,5.46,22.95,0,0,1.09,1.09,233.87,7.65,1.09,6.56,33.88,15.3,0,10.93,0,1.09,22.95,0,0,0,0,2.19,1.09,2.19,26.23,0,2.19
108-118,0,0,0,3.83,0,0,19.15,0,7.66,19.15,34.47,2.3,1.53,16.85,1.53,2.3,2.3,0,152.43,2.3,0,1.53,45.19,13.02,0.77,6.89,0,0.77,13.02,0,0,0.77,0,4.6,0.77,3.06,18.38,0.77,1.53
120,0,0,0,7.84,1.96,1.96,13.72,0,5.88,31.36,19.6,3.92,0,11.76,0,1.96,0,0,119.55,0,0,0,29.4,13.72,0,17.64,0,1.96,1.96,0,0,0,0,7.84,0,1.96,5.88,0,0
