stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,395.34,7867.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,263.56,0,0,0,0,0,0,0,0,0,0
  5-6,465.85,3187.41,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,140.98,30.65,0,0,67.43,0,36.78,0,0,0,0,0,0,0,0,0,0
  7-9,89.38,34.17,0,110.41,0,0,0,44.69,0,0,0,0,0,47.32,0,0,0,0,0,0,0,0,0,462.65,55.2,0,0,302.3,0,0,7.89,0,0,0,0,0,0,0,0,0
 10-12,3.15,34.62,0,100.7,0,9.44,0,50.35,0,0,0,0,0,84.97,0,0,0,0,0,0,0,0,0,456.31,40.91,0,0,248.61,0,0,12.59,0,44.06,0,12.59,0,0,0,0,0
 14-21,1,0,0,22,192,18,0,21,0,0,0,2,5,29,8,2,0,0,2,0,86,0,55,306,10,0,5,7,0,0,1,44,7,16,243,61,0,2,0,0
 24-34,0,0,0,4.1,81.26,1.64,0,26.27,8.21,3.28,3.28,3.28,2.46,1.64,7.39,1.64,0,13.95,0.82,0.82,112.46,0,57.46,185.51,3.28,1.64,4.93,0,0.82,1.64,0,1.64,4.1,4.1,39.4,21.34,0,15.6,0,0.82
 36-46,0,0,0,0,16.11,0,0,13.7,16.11,1.61,4.83,7.25,3.22,0,16.92,1.61,0,6.45,0.81,0.81,193.36,4.03,46.73,93.46,0.81,0.81,0,0,0,3.22,0.81,0,0.81,2.42,0.81,17.72,1.61,6.45,0,0.81
 48-58,0,0,0,0,5.74,0,0,12.05,5.74,1.15,9.18,11.48,0.57,0,9.75,0,0,2.87,0,0,244.44,5.74,36.72,47.05,0,0,0,0,1.15,0,0,0,0.57,4.59,0,7.46,2.3,2.87,0.57,0
 60-70,0,0,0,0,11.78,1.96,0,7.85,6.87,2.94,9.82,25.52,1.96,0,4.91,0,0,2.94,0.98,0,367.09,19.63,29.45,27.48,0,0.98,0,0,0,0.98,0,0,0,0,0,2.94,24.54,0,17.67,0
 72-82,0,0,0,0,9.82,2.94,0,20.61,5.89,0.98,16.69,41.23,0,0,3.93,0,0.98,6.87,0.98,0,413.28,14.72,26.5,24.54,0,0.98,0,0,0,0.98,0,0,1.96,0,0,0,41.23,4.91,50.06,0
 84-94,0,0,1.06,0,5.31,2.12,0,39.3,5.31,1.06,8.5,36.11,2.12,0,3.19,1.06,2.12,7.43,0,0,278.25,25.49,15.93,16.99,0,0,1.06,0,0,2.12,0,0,0,0,0,1.06,41.42,4.25,53.1,1.06
 96-106,0,0,0,0,19.67,6.56,1.09,28.41,3.28,3.28,7.65,34.97,3.28,0,4.37,1.09,1.09,4.37,1.09,0,261.19,19.67,14.21,26.23,0,0,0,0,2.19,0,0,0,0,1.09,0,0,62.29,7.65,79.78,0
108-118,0,0,0.77,0,7.66,2.3,0.77,11.49,5.36,0.77,5.36,44.43,3.06,0,2.3,0,0.77,3.06,0,0,245.87,8.43,13.02,24.51,0.77,0.77,0.77,0,1.53,1.53,0,0,0.77,0,0,3.06,33.7,4.6,43.66,0.77
120,0,0,0,0,5.88,1.96,0,13.72,3.92,0,1.96,47.03,3.92,0,3.92,0,0,0,0,0,156.78,5.88,5.88,29.4,0,0,0,0,0,0,0,0,1.96,0,0,0,27.44,5.88,50.95,0
