stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,606.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,79.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,2.63,0,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.44,0,0,0,3.15,0,0,0,3.15,0,3.15,0,0,0,0,0,0
 14-21,0,0,1,8,22,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,4,2,3,5,1,0,1,0,2,5,15,9,0,0,0,0,0
 24-34,0,0,0.82,17.24,66.49,1.64,0,2.46,3.28,55,0,2.46,2.46,0,0,0,0.82,0,7.39,4.1,0,44.33,0.82,0,10.67,69.77,0.82,2.46,30.37,0,0,0.82,0,7.39,2.46,4.93,19.7,0,0,1.64,0,0
 36-46,0,0,0.81,0,62.84,2.42,0,5.64,2.42,53.17,1.61,9.67,2.42,0,0,0,0,0,6.45,5.64,0,149.85,1.61,0,35.45,64.45,0,2.42,27.39,0,0,1.61,0,5.64,3.22,2.42,26.59,0,0,0,0,0
 48-58,0.57,0,0,0.57,77.46,0,0,16.07,3.44,48.2,3.44,22.38,1.15,0,0,0,0.57,0,4.02,3.44,0,286.9,0.57,0.57,60.25,80.33,0.57,1.15,25.82,0,0,1.72,0,1.72,0,0,25.25,0,0.57,0.57,0,0
 60-70,0,0,0.98,0,113.86,0.98,0,27.48,7.85,60.85,6.87,29.45,3.93,0,0,0,0,0,1.96,6.87,0,430.89,0.98,3.93,47.11,57.91,0,0.98,17.67,0,0,0.98,0,2.94,0.98,0,19.63,0.98,0,0.98,0,1.96
 72-82,0,0,0.98,1.96,94.24,0,0,29.45,4.91,45.16,2.94,52.03,5.89,0,0.98,0,0.98,0,5.89,1.96,0,426.04,2.94,1.96,47.12,51.05,0,0,14.72,0,0,2.94,0,2.94,0,0,8.83,0,0,1.96,2.94,0.98
 84-94,0,0,1.06,3.19,162.49,0,0,23.36,3.19,69.03,2.12,28.68,7.43,1.06,0,1.06,1.06,1.06,1.06,4.25,0,254.89,0,0,35.05,28.68,0,0,12.74,0,0,4.25,0,5.31,0,0,13.81,1.06,2.12,0,2.12,0
 96-106,0,0,2.19,2.19,122.4,2.19,1.09,16.39,1.09,67.76,0,27.32,10.93,0,3.28,1.09,4.37,1.09,5.46,6.56,0,216.38,2.19,1.09,20.76,34.97,0,1.09,25.14,0,1.09,7.65,0,0,0,0,8.74,0,1.09,2.19,2.19,0
108-118,0,0,0,1.53,110.3,2.3,0.77,12.26,5.36,77.36,1.53,18.38,8.43,0,0.77,1.53,2.3,0,3.06,3.06,0,149.36,0,2.3,19.92,29.11,1.53,1.53,21.45,0,0,1.53,0,3.83,0.77,0,4.6,2.3,3.06,0.77,0.77,0.77
120,0,0,1.96,1.96,86.23,0,0,9.8,9.8,50.95,0,11.76,3.92,0,0,1.96,1.96,0,3.92,3.92,0,129.35,0,0,11.76,29.4,0,0,15.68,0,0,0,0,1.96,1.96,0,3.92,0,3.92,0,1.96,0
