stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,91.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0
  7-9,5.26,5.26,0,2.63,0,0,0,10.51,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,65.72,2.63,0,0,10.51,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,12.59,0,6.29,0,3.15,0,22.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,242.32,28.32,0,0,75.53,0,0,0,0,15.73,0,0,0,0,0,0,0
 14-21,0,0,0,6,43,12,0,41,0,0,0,3,2,1,0,0,0,0,0,0,0,18,0,0,15,260,9,0,2,1,0,1,0,62,3,1,78,91,0,1,0,0
 24-34,0,0,0,0.82,8.21,0.82,0,30.37,0,0,1.64,4.93,0,0,0.82,0,1.64,0,0.82,0,0,21.34,0,0,12.31,231.48,4.1,4.93,3.28,0,0,15.6,0,0,0.82,0,2.46,54.18,0,5.75,0,0
 36-46,0,0,0,0,4.03,1.61,0,20.95,0,0,0,12.09,0,0,0,0,0,0,0,1.61,0,16.11,0,0.81,3.22,130.52,0.81,1.61,0.81,0,0,3.22,0.81,0,0.81,0,0.81,41.89,0,4.03,0,0
 48-58,0,0,0,0,4.59,0,0,24.1,0.57,1.15,0.57,9.18,0,0,0.57,0,0,0,0,0,0,20.08,0,0.57,9.75,75.74,0.57,0.57,1.72,0,0,2.3,0,0,0.57,1.15,0,22.95,0,1.72,0,0
 60-70,0,0,0,0,8.83,0.98,0,21.59,0,0,0.98,20.61,0.98,0,0,0.98,0,0,0,0,0,26.5,0.98,1.96,0,64.78,0,0,0.98,0,0,9.82,0,0,0,1.96,0,13.74,0,0.98,0,0
 72-82,0,0,0.98,0,7.85,19.63,0,42.21,0,0,5.89,24.54,0,0,0,0,0,0,4.91,0,0,81.48,1.96,1.96,6.87,69.7,2.94,1.96,3.93,0,0.98,17.67,0,0,1.96,0,0,12.76,0.98,3.93,0.98,1.96
 84-94,0,0,0,0,10.62,12.74,0,36.11,0,3.19,1.06,26.55,2.12,0,0,1.06,0,0,2.12,0,1.06,53.1,0,2.12,7.43,58.41,1.06,1.06,7.43,0,0,41.42,0,0,0,0,0,4.25,1.06,2.12,2.12,3.19
 96-106,0,0,0,0,18.58,16.39,1.09,42.62,1.09,0,3.28,16.39,1.09,0,3.28,1.09,1.09,1.09,2.19,1.09,1.09,62.29,0,1.09,9.84,37.16,3.28,5.46,8.74,0,1.09,19.67,0,0,0,1.09,0,3.28,0,2.19,2.19,3.28
108-118,0,0,0,0,22.98,6.89,0.77,22.21,2.3,3.83,3.83,27.57,2.3,0,0.77,2.3,2.3,2.3,1.53,0.77,0.77,46.72,0,2.3,10.72,72,3.06,1.53,4.6,0,0.77,31.4,0,0,0.77,2.3,0,3.06,0.77,6.13,0.77,2.3
120,0,0,0,0,17.64,7.84,0,27.44,0,1.96,0,21.56,0,0,3.92,3.92,3.92,1.96,0,0,0,29.4,0,0,13.72,39.2,3.92,0,5.88,0,0,31.36,0,0,0,0,0,1.96,0,5.88,0,0
