stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,ionocyte,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pgc,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,11,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0
 24-34,11.49,0,6.57,0,13.13,0,0.82,0.82,0.82,0,0,0,0,2.46,0,0.82,10.67,0,1.64,8.21,0,0.82,0,4.1,0.82,2.46,0,0,0,0,0
 36-46,8.86,0,3.22,0.81,8.86,0,0.81,1.61,1.61,0,0,0,0,3.22,0.81,4.03,15.31,0,2.42,3.22,0,0.81,0,2.42,0,2.42,0,0,0,0,0
 48-58,4.02,0.57,1.72,0.57,22.38,0,2.3,1.15,0.57,0,0,0.57,0,1.72,0,0.57,10.33,0.57,2.3,7.46,0,0,0,0.57,0,2.3,0,0,0.57,0,0.57
 60-70,3.93,0.98,3.93,0,31.41,0.98,0,0,0,0,0,0.98,0,1.96,0,0.98,9.82,0,0,7.85,0,0,0,1.96,0,0,0,0,0,0,0
 72-82,14.72,1.96,2.94,7.85,38.28,0,0,0.98,2.94,2.94,0,0,0,12.76,0,0,28.47,0,0,7.85,0.98,0,0,3.93,0,0,0,0,0.98,0,0
 84-94,13.81,3.19,0,1.06,69.03,0,0,1.06,1.06,4.25,0,0,1.06,4.25,0,0,7.43,0,4.25,6.37,0,1.06,1.06,1.06,0,0,1.06,1.06,2.12,0,0
 96-106,14.21,3.28,7.65,1.09,40.44,0,0,0,4.37,4.37,0,0,19.67,12.02,0,1.09,10.93,0,3.28,4.37,2.19,1.09,0,8.74,0,0,1.09,0,0,1.09,1.09
108-118,16.09,9.19,4.6,4.6,49.02,0,0,0,2.3,6.13,0,0.77,19.92,6.89,1.53,0.77,12.26,0,1.53,7.66,3.06,0.77,0,5.36,0,0,0,0,4.6,0,0
120,15.68,1.96,0,3.92,13.72,0,0,0,1.96,1.96,1.96,3.92,9.8,5.88,0,0,3.92,0,0,7.84,0,1.96,0,7.84,0,0,0,0,1.96,0,0
