stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,65.89,896.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131.78,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,232.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79.69,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,47.32,0,0,0,10.51,84.12,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.2,0,0,0,12.59,47.2,3.15,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,9,1,0,0,0,0,0,2,0,1,0,1,0,0,0,0,4,3,0,1,9,0,0,1,0,661,0,1,0,3,4,0,0,0,0,0
 24-34,0,0,0,12.31,0,0,4.93,4.1,0.82,1.64,0,0,0,0.82,8.21,0,0,0.82,0.82,2.46,11.49,0,2.46,43.51,0.82,0.82,1.64,0,1029.35,0,0,0.82,0.82,9.03,0,0,0.82,0,1.64
 36-46,0,0,0,4.03,0,0,4.03,6.45,0,0,0,0,0,0,2.42,0.81,0.81,0,0,4.03,7.25,0,0.81,34.64,0.81,0.81,0,0,1104.57,0.81,0,0,0,4.03,0,0,0.81,0,0
 48-58,0,0,0,10.9,0,0,13.2,14.92,0,3.44,0.57,0,0.57,0.57,3.44,0,0,0,0.57,10.33,8.03,0,1.15,45.33,0,0,0,0,1057.52,0,0,0,0,8.61,0,0,1.15,0,0.57
 60-70,0,0,0,24.54,0,0,5.89,13.74,0.98,0,0,0,0,0,0,0,0,0,0,16.69,5.89,0,2.94,18.65,0.98,0,0.98,0,795.03,0,0,0,0,3.93,0,0,0,0,0
 72-82,0,0,0,68.72,0,0,9.82,16.69,0,0.98,3.93,0,0,0,8.83,0,0,0,0,8.83,6.87,0,0,18.65,0,0,0,0,746.06,0,0,0,0,0.98,3.93,0,0,0,0.98
 84-94,0,0,0,142.31,1.06,0,8.5,56.29,0,1.06,5.31,0,0,0,32.92,0,0,1.06,1.06,6.37,18.05,1.06,1.06,13.81,0,1.06,0,0,2235.59,0,0,0,0,1.06,13.81,0,0,0,0
 96-106,0,0,0,210.92,2.19,1.09,15.3,62.29,0,9.84,22.95,0,1.09,0,30.6,0,4.37,0,0,8.74,19.67,1.09,3.28,37.16,0,0,0,0,1874.23,0,0,0,0,2.19,10.93,1.09,0,1.09,0
108-118,0,0,0,186.89,0.77,1.53,3.83,71.23,0.77,2.3,14.55,0,1.53,1.53,36.77,0.77,0.77,0.77,0.77,6.89,26.81,0,0.77,19.92,0,0,0.77,0,1646.82,0,0,0,0,0.77,10.72,0,0.77,0.77,0
120,0,0,0,123.47,0,1.96,11.76,39.2,0,3.92,7.84,0,0,0,11.76,0,0,0,0,5.88,17.64,0,0,15.68,3.92,0,0,0,901.5,0,0,0,0,0,3.92,0,0,0,0
