stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,pronephros,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,26.36,131.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,5.26,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.14,0,0,15.77,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.91,0,0,6.29,0,0,3.15,3.15,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,10,0,0,0,0,0
 24-34,0,0,0.82,0,0,0,0,6.57,0,0,0,0,0,0,0,0,0,0,0.82,4.93,0,0,0,89.47,7.39,0.82,0,0,0,0,0,36.94,0,0,0,0,1.64
 36-46,0,0,0,0,0,0,0,12.09,0.81,0,0,0,0,0,0,0,0,0,0,4.83,0,0,3.22,113.6,16.92,0.81,0,0,0,0,0,61.23,0,0,0.81,0,1.61
 48-58,0,0,0,0,0,0,0,25.25,0.57,1.15,2.3,0,1.15,0,0,0,0,0,0,9.75,0,0.57,0.57,131.98,4.59,0,0,0,0,0,0,53.36,0,0,0,0,2.87
 60-70,0,0,0,0,0.98,0,0,91.28,0,0,3.93,0,0,0,0,0.98,0.98,0,0,9.82,0,0,0,165.88,17.67,0.98,0,0,0.98,0,0,43.19,0,0,0,0,3.93
 72-82,0,0,0.98,0,3.93,0.98,0,159.03,0,1.96,9.82,0,0,0,0,1.96,1.96,0.98,0,18.65,0,0,6.87,188.48,24.54,2.94,0,0,0,0,0,32.39,0,0.98,0,0,1.96
 84-94,0,0,0,0,4.25,0,0,115.76,0,0,19.12,0,0,0,2.12,1.06,2.12,1.06,0,16.99,0,1.06,0,116.82,21.24,2.12,0,0,2.12,0,0,12.74,0,0,0,0,2.12
 96-106,0,0,0,0,7.65,0,0,100.54,0,0,22.95,0,0,0,0,0,4.37,0,0,24.04,1.09,1.09,2.19,107.1,19.67,2.19,0,0,4.37,0,0,9.84,1.09,0,1.09,2.19,2.19
108-118,0,0,0.77,0,5.36,0,0.77,73.53,0,0,22.21,0.77,0,0.77,0,0.77,3.83,0.77,0,16.85,0,0,3.06,121.79,16.85,2.3,0,0.77,0,0,0.77,3.83,0,0,0,0.77,3.06
120,1.96,0,1.96,0,1.96,0,0,47.03,0,0,27.44,0,0,0,0,1.96,3.92,0,0,7.84,0,0,5.88,131.31,17.64,5.88,0,0,3.92,0,0,5.88,0,0,1.96,0,0
