stage,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,glial,gut,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pronephros,slow_muscle,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,5.26,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.73,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,3,10,0,0,0,0
 24-34,0,1.64,0,0,0,0,0,0.82,0,1.64,0,0,0,0,0,0.82,0,0,1.64,23.8,0,0,0.82,0,0.82,0,6.57,13.95,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.03,0,0,0.81,17.72,0,0,0,0,0.81,0,16.11,10.47,0,0.81,0,0
 48-58,0,0,0.57,0,3.44,4.59,0,1.72,0,0,0,0,0,0,0,1.72,0,0,2.3,9.18,0,0,0,0,0,0,10.33,3.44,0,1.15,0,0
 60-70,0,0.98,0,0,4.91,17.67,0,0,0.98,0,0,0,0,0.98,0,8.83,0.98,0.98,6.87,14.72,0.98,0,0,0.98,0.98,0,6.87,0,0,0,0,0
 72-82,0,0.98,2.94,0,14.72,20.61,0,4.91,0,0,0.98,0,0,0,0,14.72,0,0,4.91,28.47,0,0,0,0,0.98,0,5.89,0.98,0,1.96,0,0
 84-94,0,0,2.12,0,14.87,30.8,0,5.31,1.06,0,0,0,0,1.06,0,8.5,0,0,8.5,13.81,0,0,0,0,3.19,0,9.56,3.19,1.06,0,1.06,1.06
 96-106,0,3.28,1.09,1.09,12.02,34.97,1.09,4.37,0,0,1.09,1.09,1.09,1.09,0,18.58,0,0,5.46,26.23,0,2.19,0,0,7.65,0,7.65,0,0,1.09,1.09,2.19
108-118,0,3.06,0.77,0.77,6.13,33.7,0,0,1.53,0,0,0,0,0.77,0.77,7.66,0,0,5.36,9.96,0,0,0,0,4.6,0.77,3.83,0.77,0,0.77,0,0.77
120,1.96,0,0,0,9.8,25.48,1.96,1.96,1.96,0,1.96,0,0,0,0,11.76,0,0,1.96,9.8,0,1.96,0,0,0,0,3.92,0,0,1.96,0,0
