stage,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_mesenchyme,glial,gut,heart,immune,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,1,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,2,11,0,0,1,0,1,288,57,5,0,0,1,0,0
 24-34,0,0.82,0,0,0.82,0,0,0,0,0,0,0,0,0.82,3.28,0,0,4.1,9.03,0.82,0,0,0,0,114.1,8.21,2.46,0,0,0.82,0,0
 36-46,0,2.42,0,0,1.61,3.22,0.81,0,0,0,0,0,2.42,0,4.03,0,0,6.45,6.45,0.81,0,0,0,0,63.65,0.81,0.81,0,0,0,0,0
 48-58,0,1.15,0,0,2.3,7.46,4.59,1.15,0,0.57,0,0,2.3,0,6.31,0,0,6.89,15.49,0,0.57,0,0,0,60.82,0,4.02,0,0.57,0,0,0
 60-70,0,0.98,0,0,4.91,16.69,3.93,0,0,0.98,0,0,1.96,0,9.82,0.98,0,7.85,8.83,0,1.96,0,0,0,46.13,0,1.96,0,0,0,0,0.98
 72-82,0,0.98,1.96,0,2.94,37.3,5.89,4.91,0,0,0,0,2.94,0,16.69,0,0.98,11.78,18.65,0.98,3.93,0,0.98,0,35.34,0,0.98,0,0,0,0.98,0
 84-94,0,7.43,0,0,9.56,37.17,5.31,1.06,0,0,0,0,0,1.06,10.62,0,0,8.5,9.56,0,2.12,0,3.19,0,73.28,0,1.06,0,0,0,0,0
 96-106,0,8.74,7.65,0,13.11,77.59,2.19,3.28,0,0,1.09,1.09,4.37,2.19,12.02,2.19,0,18.58,10.93,1.09,5.46,0,8.74,0,78.68,0,0,1.09,0,2.19,0,1.09
108-118,0.77,6.13,2.3,1.53,5.36,96.51,2.3,1.53,1.53,0,0.77,0,0.77,0,9.96,0.77,0,16.85,14.55,1.53,2.3,0,4.6,0,68.17,0,0.77,0,0,1.53,0,0
120,0,7.84,0,0,1.96,74.47,0,9.8,0,0,0,1.96,5.88,0,7.84,0,0,9.8,17.64,0,3.92,0,1.96,0,13.72,0,0,0,0,0,0,0
