stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vasculature,visceral_smooth_muscle
  7-9,10.51,2.63,0,23.66,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,42.06,26.29,0,407.45,0,0,2.63,0,0,0,0,0,0,0
 10-12,0,15.73,0,91.26,0,3.15,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,3.15,100.7,56.65,0,925.21,0,0,0,15.73,78.67,0,37.76,0,0,0
 14-21,0,0,0,17,17,20,0,2,0,0,0,0,11,0,0,0,0,35,0,0,141,19,7,0,8,0,3,0,586,1,68,1966,18,0,0
 24-34,0,0,0.82,4.93,7.39,2.46,0,2.46,0.82,0,1.64,1.64,0,0,0,0,0.82,64.85,0,0,207.68,9.85,0.82,0,0,0,1.64,0,3.28,0,27.09,435.87,15.6,0,0
 36-46,0,0,0,0,0,0,0,1.61,0.81,0.81,0.81,0,0.81,0,0,0,0,70.09,0,0,58.81,1.61,0,0,0,0,0,0,0,0,4.83,4.03,0.81,0,0
 48-58,0,0,0,0,0,0,0,0.57,1.72,0,1.15,0,1.15,0,0,0,0,60.25,0,1.15,38.44,4.59,0,0,0,0,0,0,0,0,2.3,0.57,1.15,0,0
 60-70,0,0,0,0,0,0,0,0,0.98,0,0,0.98,12.76,0,0.98,0,0.98,47.11,0.98,0,25.52,2.94,0,0,0,0,0,0,0,0,1.96,0,0,0,0
 72-82,0,0,3.93,0,1.96,0.98,0,6.87,0.98,0.98,0.98,0.98,18.65,0,0,0,0,65.77,0,0,64.79,6.87,0,0,0,0,0.98,0,0,0,0.98,0,0.98,0.98,0.98
 84-94,0,0,1.06,0,1.06,0,0,6.37,0,0,0,1.06,23.36,0,0,1.06,0,43.54,0,0,52.04,0,1.06,1.06,0,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,2.19,0,1.09,0,0,5.46,1.09,1.09,0,1.09,31.69,0,0,1.09,0,59.01,0,0,59.01,8.74,0,0,1.09,1.09,0,0,0,1.09,0,0,1.09,0,0
108-118,0,0,0.77,0,0,0,0.77,3.83,0,0,0,0,18.38,0,0,0,0,17.62,0,0,36.77,5.36,0,0,0,0,2.3,0,0,0,0.77,0,0,0,0.77
120,0,0,0,0,3.92,0,0,3.92,0,1.96,0,0,48.99,0,0,0,0,23.52,0,0,80.35,5.88,1.96,0,0,0,0,0,0,0,1.96,0,0,0,0
