stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,171.31,1686.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79.07,0,0,0,0,0,0,0,0,0,0
  5-6,42.91,772.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,12.26,0,12.26,0,0,0,0,0,0,0,0,0,0
  7-9,13.14,10.51,5.26,0,0,0,15.77,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,178.75,5.26,0,0,70.98,0,0,7.89,0,0,0,0,0,0,0,0,0
 10-12,0,9.44,59.79,0,6.29,0,3.15,0,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0,232.88,6.29,0,0,40.91,0,0,0,0,15.73,0,0,0,0,0,0,0
 14-21,0,0,3,101,8,0,2,1,0,0,5,1,4,0,1,0,0,0,0,51,1,0,24,30,0,0,2,1,0,7,0,7,2,3,2,0,0,0,0,0
 24-34,0,0,1.64,40.22,0.82,0,2.46,1.64,0,0.82,6.57,0,0.82,0,0.82,0,0,0.82,0.82,59.92,0,0,13.13,29.55,0.82,0.82,2.46,0,0,9.85,0,0,0.82,0.82,5.75,0,0,0,0,0
 36-46,0,0,0,0.81,0.81,0,1.61,0,0,4.83,0,0,0,0,0,0,0.81,0,0,6.45,0,0,1.61,62.04,0,0,1.61,0,0,7.25,0,0,1.61,0,15.31,0,0,0,0,0
 48-58,0,0,0,1.72,0,0,8.61,0.57,0,7.46,1.15,0,0,0,0,0,0,0,0.57,4.59,0,0,1.15,195.67,0,0,0,0,0,9.18,0,0,0.57,0,5.16,0,0,0.57,0,0
 60-70,0,0,0,5.89,0,0,27.48,0,0,26.5,0,0,0,0,0.98,0,0,0,0,11.78,0,0.98,0,682.16,0,0,0,0,0,12.76,0,0,0.98,0,9.82,0,0,0,0,0
 72-82,0,0,0,2.94,1.96,0,75.59,0.98,0,90.31,0,0,0,0.98,0,0,1.96,0,1.96,32.39,1.96,0,1.96,860.92,0,0,0.98,0,0,7.85,0,0,1.96,0,12.76,0.98,0.98,0.98,0.98,3.93
 84-94,0,0,0,19.12,0,1.06,55.23,0,0,56.29,3.19,0,1.06,3.19,1.06,0,0,0,1.06,19.12,0,2.12,0,575.62,0,0,1.06,0,0,14.87,0,0,0,0,9.56,0,0,0,0,0
 96-106,0,0,0,12.02,1.09,0,46.99,0,1.09,87.43,2.19,0,0,3.28,1.09,1.09,1.09,0,0,17.49,0,1.09,2.19,502.71,0,1.09,2.19,0,1.09,4.37,0,0,0,0,8.74,1.09,0,0,0,0
108-118,0,0,0,8.43,2.3,0.77,22.21,0,0.77,71.23,1.53,0,0,0.77,0.77,0,0,0.77,0.77,17.62,0,0,0.77,644.17,0,0.77,0.77,0,0,3.83,0,0,0,0,3.83,0,1.53,1.53,0,0
120,0,0,0,21.56,1.96,1.96,31.36,1.96,1.96,50.95,3.92,0,0,3.92,0,0,3.92,3.92,0,15.68,1.96,1.96,0,715.32,1.96,0,0,0,1.96,3.92,0,0,1.96,0,9.8,1.96,0,1.96,0,0
