stage,axial,blastomeres,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pronephros,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,131.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,98.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,16,0,0,0,0,0
 24-34,0,0,0.82,0,0,0,0,0.82,0,0,0,0,0,0,0,0,0,217.53,0,0.82,0,0,0,0,63.21,0,0,0,0,0
 36-46,0,0,0,0,5.64,0,0,0,0,0,0,0,0,0,0.81,0,0,653.4,0,0.81,0,0,1.61,0,112.79,0,0,0,0,0
 48-58,0,0,0.57,0.57,54.51,0.57,0,6.89,0,0,0,0,0,0.57,4.02,0,0,715.53,0.57,0,0.57,0,1.72,0,98.12,0,0,0.57,0,0
 60-70,0,0,1.96,0.98,252.25,0,0,5.89,0,0.98,0.98,0,0,0.98,8.83,0,1.96,1257.33,0,0,0,0,0.98,0.98,89.32,0,0.98,0,0,0
 72-82,0,0,1.96,0.98,316.1,0,0.98,13.74,0.98,0,0,0,0,0,14.72,0.98,0.98,1028.78,0,0,0,0,0,0,40.25,0,0,0,0,1.96
 84-94,0,0,8.5,2.12,191.17,2.12,0,16.99,0,0,2.12,0,1.06,0,9.56,0,0,526.77,0,0,1.06,0,0,0,22.3,1.06,0,0,1.06,0
 96-106,0,0,5.46,5.46,143.16,0,0,9.84,0,0,0,0,0,0,4.37,1.09,1.09,429.49,0,1.09,1.09,0,0,0,9.84,0,2.19,1.09,0,0
108-118,0,0,5.36,0,104.94,0,0.77,7.66,0.77,0,1.53,0.77,0,0,6.13,0,0.77,455.75,0,0,0,0,0,0,6.89,0.77,0,0,0.77,0
120,0,0,3.92,0,97.99,0,0,7.84,0,0,0,0,0,0,3.92,0,0,484.07,0,0,0,0,0,0,5.88,1.96,0,0,0,0
