stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,52.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,55.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.57,0,0,0,28.92,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,9.44,0,0,3.15,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,19,3,0,3,0,0,0,7,0,3,0,0,0,0,0,0,19,0,0,21,26,134,0,0,0,0,0,0,1,0,11,155,0,0,0,0
 24-34,0,0,0,0.82,5.75,1.64,0,6.57,0,3.28,0.82,0,0,2.46,0,0,0,0,0,6.57,8.21,0,0,4.93,109.99,1.64,0,1.64,0,0,0,0,0,0,0,85.37,0,0.82,0,0
 36-46,0,0,0,0,3.22,0,0,13.7,0,0.81,1.61,0.81,0,1.61,0,0,0,0,0,4.83,16.92,0,4.03,0,362.55,0.81,1.61,0,0,0,0,0,0,0,0,72.51,0,0.81,0,0
 48-58,0,0,0,0,2.87,0,0,26.4,0,0.57,12.05,3.44,0,0.57,0,0,0,0,0.57,4.59,43.04,0,2.3,2.87,457.9,0.57,0.57,1.72,0,0.57,0,0,0,0.57,0,46.48,0,0.57,0,0
 60-70,0,0,0,0,5.89,0,0,79.5,0,4.91,22.58,26.5,0,1.96,0.98,0.98,0.98,0,0,0.98,67.73,0,9.82,0.98,986.43,0,1.96,2.94,0,2.94,0,0,0,0,0,69.69,5.89,0.98,4.91,0
 72-82,0,0,0,1.96,7.85,1.96,0,88.35,0.98,2.94,38.28,57.92,0.98,0,0.98,0,0,0,0,1.96,135.47,0,8.83,3.93,741.15,0,0.98,11.78,0,0.98,0,0,0,0,0,35.34,13.74,0.98,13.74,2.94
 84-94,0,0,0,2.12,4.25,1.06,0,79.65,0,11.68,19.12,36.11,1.06,1.06,1.06,1.06,0,0,0,3.19,94.52,0,7.43,0,372.78,1.06,0,6.37,0,2.12,2.12,0,0,0,0,32.92,6.37,1.06,9.56,0
 96-106,0,0,1.09,2.19,7.65,1.09,1.09,69.94,0,8.74,22.95,60.11,0,1.09,1.09,2.19,0,1.09,0,2.19,134.42,1.09,6.56,4.37,315.83,0,2.19,10.93,0,9.84,2.19,0,0,0,0,20.76,9.84,1.09,15.3,0
108-118,0,0,0.77,8.43,16.85,0.77,0,47.49,0,6.13,19.92,32.94,1.53,0.77,0.77,0,0,0.77,0,0,110.3,0,1.53,3.83,404.43,0,0,14.55,0,4.6,0,0,0,0,0,9.96,5.36,1.53,8.43,0
120,3.92,0,0,1.96,11.76,0,0,47.03,0,7.84,17.64,29.4,0,0,1.96,0,0,1.96,0,0,78.39,0,1.96,0,341,0,3.92,7.84,0,3.92,0,0,0,0,0,13.72,1.96,1.96,7.84,1.96
