stage,axial,blastomeres,endoderm,epidermis,exocrine_pancreas,eye,glial,mesenchyme,mucous,muscle,neural,periderm,spinal_cord,vasculature
  3-4,13.18,131.78,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,73.56,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,0,0,0,0,0,0,0,10.51,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0
 14-21,0,0,0,0,0,1,0,0,0,0,5,0,1,0
 24-34,0,0,0.82,1.64,0,2.46,0.82,1.64,0,0,10.67,0,0.82,0
 36-46,0,0,0,0.81,0,0.81,0,0,0,0,3.22,0,0,0
 48-58,0,0,0,0,0,1.15,0.57,0.57,0,0,0.57,0,0,0.57
 60-70,0,0,0,0.98,0,1.96,1.96,0,0,0,0,0,0,0
 72-82,0,0,0.98,0,0,0,0.98,2.94,0,0,0,0,0,0
 84-94,0,0,0,1.06,0,1.06,0,2.12,1.06,0,0,3.19,0,0
 96-106,0,0,0,0,1.09,2.19,0,2.19,0,0,3.28,2.19,0,0
108-118,0,0,0,0,0.77,1.53,1.53,0.77,0.77,0,1.53,0.77,0.77,0
120,0,0,0,0,0,5.88,0,0,0,1.96,1.96,3.92,0,0
