stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,glial,heart,immune,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,olfactory,pericytes,periderm,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0
  7-9,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0.82,0,0,7.39,0.82,0,0.82,1.64,0,0,0,0,0,0.82,0,0
 36-46,0,0,0,0,0.81,0,0,2.42,0,0,6.45,0.81,0,0,1.61,0,0,0,0,0.81,2.42,0,0
 48-58,0,0,0,0,0,0.57,0,6.89,0.57,0.57,8.03,0.57,1.15,0,0.57,0,0,0,0,0,1.15,0,0
 60-70,0,0,0,0,0,0,0,1.96,1.96,0,4.91,0,0,0,0.98,0,0,0,0,0.98,0,0,0
 72-82,0,0,0,0,0.98,0.98,0.98,4.91,25.52,0,0,0,0.98,0.98,0.98,0.98,2.94,0,0.98,0,0,0.98,0
 84-94,0,0,0,0,3.19,0,2.12,0,11.68,0,6.37,1.06,0,0,2.12,0,1.06,0,0,1.06,2.12,0,0
 96-106,0,0,0,1.09,1.09,1.09,0,2.19,37.16,1.09,4.37,4.37,0,0,1.09,0,1.09,0,0,0,1.09,1.09,0
108-118,0,0,0,0,0,0,0.77,0,28.34,0,5.36,0,0,0,0.77,0,0,0,0,0,0.77,0,0.77
120,0,0,0,0,0,1.96,0,0,21.56,0,0,0,0,0,0,0,0,0,0,0,1.96,0,0
