stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,hatching_gland,ionocyte,lateral_line,mesenchyme,mucous,mural_cell,muscle,neural,notochord,otic,paraxial_mesoderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,vasculature
  3-4,52.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,42.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,10.51,0,0,2.63,0,0,0,5.26,0,0,0,0,0,0,15.77,2.63,0,5.26,0,0,0,0,0,0
 10-12,3.15,6.29,0,0,6.29,0,0,0,0,0,0,0,0,0,0,34.62,0,0,18.88,6.29,0,3.15,0,0,0
 14-21,0,0,4,2,0,0,0,0,0,0,0,1,0,0,0,19,0,0,1,1,1,0,3,5,1
 24-34,0,0,0.82,0,2.46,0,0.82,1.64,0,1.64,0,1.64,0,0,2.46,22.16,0,0,0,0,0,0,0,5.75,0
 36-46,0,0,0,0,4.83,0,0,0,0,0,0,0,0.81,0.81,0.81,15.31,0,0,0,0,0,0,0,2.42,0
 48-58,0,0,0,0,1.15,0,0,1.15,0,0,0,2.3,0,0.57,0.57,5.74,0,1.15,0,0,0,0,0,3.44,0
 60-70,0,0,0,0.98,0.98,0,0,0,0,0,0,0,0,0,0,2.94,0,0,0,0,0,0,0,0.98,0
 72-82,0,0,0,0,0.98,0.98,0,0,0,0,0,0.98,0,0,0,0.98,0,0.98,0,0,0,0,0,0.98,0
 84-94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.12,0,0,0,0,0,0,0,2.12,1.06
 96-106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.28,0,0,0,0,0,0,0,0,0
108-118,0,0.77,0,0,0,0,0,0,0,0,0.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120,0,0,0,0,0,0,0,1.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
