stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,144.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,13,1,0,1,0,0,0,3,1,1,2,0,1,0,0
 24-34,0,0,0,0.82,0,3.28,0,0,0,0,0,0,0,0,0,1.64,0,0,2.46,0,0,2.46,45.97,0,0,0,0,0,0.82,0.82,0,1.64,15.6,0,3.28,0,0
 36-46,0,0,0,0.81,0,2.42,0,0.81,0,0.81,0.81,0,0,0,0,0.81,0,0,0.81,0,0,0,84.6,0,0,0,0,0,0,0,0.81,0,17.72,0,0,0,0
 48-58,0,0,0,1.15,0,13.77,0,0,0.57,5.16,0,0,0,0,0,0,0.57,1.15,10.9,0.57,0,1.15,102.71,0,0,0.57,0,0,0,0,0,0,11.48,0,0.57,0,0
 60-70,0,0,0,1.96,0,43.19,0,0,0.98,5.89,0.98,0,0,1.96,0,0,0,0.98,6.87,0,1.96,0.98,172.75,0,0.98,0,0,0,0,0,0,0,10.8,0,4.91,0,0
 72-82,0,0,0.98,0.98,0,44.17,0,0,0,7.85,0.98,0,0,0,0,0.98,0,0,5.89,0,0,0.98,121.73,0,0,0.98,0,0,0,0,0,0,7.85,0,0.98,0.98,0
 84-94,0,0,0,1.06,0,25.49,1.06,0,0,2.12,0,0,0,0,1.06,2.12,0,0,6.37,0,0,1.06,59.47,0,0,1.06,0,0,3.19,0,0,0,5.31,1.06,4.25,0,0
 96-106,0,0,0,1.09,0,13.11,0,0,0,2.19,0,0,1.09,0,0,0,0,0,5.46,0,1.09,2.19,32.79,0,0,2.19,0,0,1.09,0,0,0,0,0,0,0,0
108-118,0,0,0,0,0,9.19,0,0,0,3.06,0,0,0,0,0,0.77,0,0,6.13,0,0,0.77,41.36,0,0,0,0,0.77,0.77,0,0,0,1.53,0.77,1.53,0,0.77
120,0,0,0,0,0,13.72,0,0,0,9.8,0,0,0,1.96,0,0,0,0,5.88,0,0,1.96,58.79,0,1.96,1.96,0,0,1.96,0,0,0,0,1.96,0,0,0
